,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,CESM2
1960-12-31,3.59145757283623e-05,3.1926525574771915e-05,4.100045342450314e-05,3.446980728190805e-05,3.8576894e-05,4.149413014992393e-05,4.0202012e-05,3.976703201754188e-05,3.472455202433007e-05,4.2608528e-05,3.754529017705698e-05,4.3555745e-05,3.2240336e-05,2.9208269890033203e-05,4.156956e-05,3.377914e-05,4.3538683e-05,3.8720264e-05,4.3061118e-05,4.043861e-05,3.2798323093891634e-05,3.5653081651934704e-05
1961-12-31,3.1831856176722795e-05,3.316711445222609e-05,4.065385655849241e-05,3.770406328840181e-05,3.5453348e-05,3.66164167644456e-05,3.7242266e-05,4.3182793888263404e-05,3.57061653630808e-05,3.937043e-05,4.306550545152277e-05,3.7124526e-05,3.836256e-05,3.6330020520836115e-05,4.629052e-05,3.7169888e-05,3.2052176e-05,3.2914606e-05,4.2807373e-05,3.7604237e-05,3.2064822436838396e-05,3.9431277400581166e-05
1962-12-31,3.149553594994359e-05,3.376461609150283e-05,4.991819150745869e-05,4.213861029711552e-05,3.9768005e-05,3.4882079489761963e-05,3.8439404e-05,3.549119355739094e-05,3.5065597330685705e-05,3.92343e-05,3.6316036130301654e-05,3.7366503e-05,4.59563e-05,4.2642153857741505e-05,3.442851e-05,3.4900724e-05,4.220003e-05,3.741717e-05,3.721362e-05,3.3693817e-05,4.1821058745629534e-05,4.0868439100449905e-05
1963-12-31,3.2555450161453336e-05,4.942763189319521e-05,3.750312316697091e-05,4.0341008570976555e-05,3.963701e-05,3.65370542567689e-05,3.8797745e-05,3.451973316259682e-05,4.221124981995672e-05,4.524279e-05,3.6274806916480884e-05,3.5486803e-05,3.6565543e-05,3.2770658435765654e-05,4.189854e-05,3.6684756e-05,3.624252e-05,3.535661e-05,3.3536537e-05,3.2253487e-05,3.5562872656871965e-05,4.695656389230862e-05
1964-12-31,3.7959163013959163e-05,3.419724896375742e-05,3.875697677896736e-05,3.976783953242135e-05,4.0779963e-05,4.1989011614975096e-05,3.535145e-05,3.966434662097768e-05,3.539731432466054e-05,3.965103e-05,3.57387514815717e-05,4.2474458e-05,3.73857e-05,3.497365446275288e-05,3.656488e-05,3.4806202e-05,3.6918707e-05,3.911883e-05,3.7172525e-05,3.5915447e-05,3.6043724843800806e-05,3.594658247789006e-05
1965-12-31,3.549048778950237e-05,4.1012292058439925e-05,3.319104507681914e-05,3.82246907975059e-05,3.5133908e-05,3.826077954727225e-05,3.5489167e-05,3.0949497158871964e-05,3.5052536986768246e-05,3.8256672e-05,3.654569809441455e-05,2.7859296e-05,3.402499e-05,4.071651346748695e-05,4.020531e-05,3.446747e-05,3.8682316e-05,3.7147787e-05,3.952504e-05,3.8335584e-05,3.436345724707965e-05,3.6476023524301127e-05
1966-12-31,3.981641566497274e-05,4.18684066971764e-05,3.838444536086172e-05,3.695644045365043e-05,3.7643636e-05,3.722988913068548e-05,3.672007e-05,4.051212818012573e-05,3.517236837069504e-05,3.8688082e-05,4.381678081699647e-05,4.3595977e-05,4.6011974e-05,3.0944440368330106e-05,4.413396e-05,3.1753847e-05,3.5358353e-05,3.773103e-05,3.6286056e-05,4.6870868e-05,3.804959558438285e-05,3.884977923007682e-05
1967-12-31,3.8645874155918136e-05,3.0499973945552483e-05,4.060296851093881e-05,3.7280529795680195e-05,4.2961256e-05,4.124711631448008e-05,3.6351023e-05,3.8458139897556975e-05,3.873098103213124e-05,3.273469e-05,4.340810846770182e-05,3.9904353e-05,4.0527048e-05,4.500987415667623e-05,2.817001e-05,3.2148942e-05,4.1919797e-05,2.8987202e-05,3.4585264e-05,3.409555e-05,3.8656345083721185e-05,3.244487743359059e-05
1968-12-31,4.1198081436057267e-05,3.9448170244011196e-05,3.7100380060988724e-05,3.399546999309169e-05,4.0064977e-05,4.214393125736632e-05,3.4732817e-05,4.164338308282359e-05,3.63184587351686e-05,3.6506925e-05,3.8278349226099877e-05,3.8735994e-05,3.0205994e-05,3.094315822870824e-05,4.4616776e-05,2.7297943e-05,3.0125151e-05,4.134712e-05,3.724026e-05,4.5255387e-05,3.9669936597541855e-05,2.4915251568822937e-05
1969-12-31,4.1470058931736276e-05,4.7781515604583547e-05,3.7873971450608224e-05,3.3706892281770706e-05,4.333332e-05,4.180653559160419e-05,3.816571e-05,4.1862353100441396e-05,3.205527536920272e-05,4.1546304e-05,4.22450975747779e-05,3.543018e-05,3.6003315e-05,4.5002652768744156e-05,3.9529124e-05,3.9046317e-05,3.433649e-05,3.6791556e-05,4.78861e-05,3.6889905e-05,3.558873565089553e-05,4.44828110630624e-05
1970-12-31,3.53453797288239e-05,3.3243097277591005e-05,3.4071017580572516e-05,3.875368201988749e-05,3.6651145e-05,3.500091770547442e-05,4.0854597e-05,3.360802656970918e-05,3.6902583815390244e-05,3.3354478e-05,2.8391616069711745e-05,4.0071325e-05,3.2271393e-05,3.174446101184003e-05,3.8968923e-05,3.785759e-05,3.448815e-05,3.4119334e-05,2.9750705e-05,3.9015093e-05,3.5251495490733436e-05,3.980570545536466e-05
1971-12-31,3.618161645135842e-05,4.173973138676956e-05,2.976072210003622e-05,3.974923674832098e-05,4.068468e-05,3.532393020577729e-05,3.5031495e-05,3.5999655665364116e-05,3.644026946858503e-05,3.2124615e-05,3.135295628453605e-05,3.754471e-05,3.894312e-05,3.2047923014033586e-05,2.997705e-05,3.9032217e-05,4.271564e-05,4.015936e-05,3.5770558e-05,4.077549e-05,3.952959964030355e-05,3.939181624446064e-05
