,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2027-12-31,295.682373046875,295.8511657714844,295.7288818359375,295.2147216796875,296.79797,295.80670166015625,296.2667,295.5716247558594,294.9237365722656,294.91315,297.27069091796875,295.2794,295.5686,295.80145263671875,296.41196,295.2965,296.02194,295.7987,295.9689,295.42297,297.92105332699566
2028-12-31,294.3051132411173,293.622065630351,296.4881100171233,296.10376879548375,296.6763,295.1985003745719,295.6929,294.5512132618525,295.4500619548641,294.8839,295.72084576332406,297.6574,296.06253,294.8899028621308,295.6837,295.41962,294.8091,296.89728,296.1347,295.7516,297.1845357145772
2029-12-31,294.6291198730469,296.54144287109375,295.7200622558594,295.3053894042969,295.59128,295.6636657714844,295.4241,296.6512451171875,294.630615234375,294.56665,293.86126708984375,295.532,295.57407,295.14971923828125,295.063,296.711,295.48947,296.0301,296.31604,295.55783,297.4546761965618
2030-12-31,294.5494689941406,294.9626770019531,295.3162841796875,296.06201171875,295.73184,294.87841796875,296.2377,295.69696044921875,295.8330993652344,296.3332,296.05206298828125,296.0457,296.33728,295.649658203125,295.969,296.44464,295.80838,296.01816,295.98257,297.2832,296.44017923877226
2031-12-31,294.6046142578125,296.3887939453125,295.55731201171875,295.91650390625,297.00992,295.39166259765625,296.23975,294.8912048339844,295.4142150878906,294.69315,295.80078125,295.31415,295.68475,295.4996643066406,295.6486,296.08115,296.17694,295.37344,295.9814,296.5309,297.06412629708234
2032-12-31,294.39738125735767,296.6544978729666,296.1824556533604,296.34127272514445,296.93652,295.18266802226026,295.80017,295.91208696757275,295.2914223030822,294.2223,295.7041697880993,294.2827,296.2625,295.88527547757917,295.19412,294.49973,296.82477,295.7112,294.9328,295.69302,296.29155627067377
2033-12-31,296.3716735839844,295.38818359375,295.8215637207031,296.0472717285156,297.4778,294.9059143066406,296.20685,295.2894287109375,294.88629150390625,293.79883,295.2791748046875,294.78818,296.2487,295.6907043457031,296.5902,295.23785,297.07974,294.71075,296.76355,296.9431,298.28159251292993
2034-12-31,296.097412109375,296.8456726074219,296.4281921386719,297.5608825683594,296.3262,296.5771484375,296.2943,296.37841796875,296.10003662109375,294.6479,296.1827392578125,295.56207,295.6099,295.13128662109375,296.00275,297.03302,296.3196,295.76477,294.65836,294.50784,295.5492489777464
2035-12-31,294.9375305175781,295.83428955078125,295.6415710449219,295.5122985839844,295.9162,295.4828796386719,296.454,295.31353759765625,295.8665466308594,296.58252,296.5217590332031,295.5202,297.9382,295.3208923339844,296.18442,296.89273,297.1585,295.7256,295.60486,296.5746,296.86243144626724
2036-12-31,294.99634792380135,295.0620447446222,295.2317007404484,296.02166371802764,296.06616,294.88944902811966,296.3198,296.3062539296607,295.6106230435306,297.22873,295.38792992160745,294.9941,296.5696,295.66628309276007,296.11038,295.54218,298.08002,295.5368,295.21155,296.72687,296.8379998592281
