threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-2_tasmax>32.22,ssp126,2027,13,0,0,3,1,0,0,0,0,6,0,16,4,0,0,0,0,6,0,0,0,13,0,0,2,0,0,0,0,0,6,0,14,4,0,0,0,0,6,0,0,0,3,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,6,0,9,4,0,0,0,0,6,0,0,0,4.33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,6.0,2.142857142857143,0.0,0.0,6.0,0.42857142857142855,0.0,0.0,1.0,1.5714285714285714,0.0,0.0,6.0,1.3966666666666665,0.0,0.0,6.0
spi<-2_tasmax>32.22,ssp126,2028,0,0,0,4,0,29,3,0,0,0,31,3,0,0,11,0,11,0,0,6,1,0,0,0,4,0,29,3,0,0,0,30,3,0,0,11,0,11,0,0,6,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,4,0,29,3,0,0,0,30,3,0,0,11,0,9,0,0,6,0,0.0,0.0,0.0,4.0,0.0,29.0,3.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,11.0,0.0,5.5,0.0,0.0,6.0,0.0,4.714285714285714,0.0,0.0,11.0,4.619047619047619,0.0,0.0,11.0,0.42857142857142855,0.0,0.0,1.0,4.523809523809524,0.0,0.0,11.0,4.357142857142857,0.0,0.0,11.0
spi<-2_tasmax>32.22,ssp126,2029,47,6,6,9,8,0,0,0,0,0,0,0,0,5,0,11,0,8,0,0,0,47,6,6,9,8,0,0,0,0,0,0,0,0,5,0,11,0,8,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,47,6,6,9,8,0,0,0,0,0,0,0,0,5,0,11,0,5,0,0,0,47.0,6.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,9.0,4.761904761904762,0.0,0.0,9.0,0.42857142857142855,0.0,0.0,1.0,4.619047619047619,0.0,0.0,9.0,4.571428571428571,0.0,0.0,9.0
spi<-2_tasmax>32.22,ssp126,2030,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.1428571428571428,0.0,0.0,5.0,1.1428571428571428,0.0,0.0,5.0,0.14285714285714285,0.0,0.0,1.0,1.1428571428571428,0.0,0.0,5.0,1.1428571428571428,0.0,0.0,5.0
spi<-2_tasmax>32.22,ssp126,2031,0,0,6,1,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,0.0,0.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.9047619047619047,0.0,0.0,5.0,0.19047619047619047,0.0,0.0,1.0,1.8095238095238095,0.0,0.0,3.0,1.7857142857142858,0.0,0.0,2.5
spi<-2_tasmax>32.22,ssp126,2032,34,0,4,5,0,11,0,13,0,0,0,0,0,0,0,0,36,0,0,0,7,34,0,4,5,0,10,0,13,0,0,0,0,0,0,0,0,35,0,0,0,7,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,34,0,4,5,0,10,0,13,0,0,0,0,0,0,0,0,20,0,0,0,5,34.0,0.0,4.0,5.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.5,5.238095238095238,0.0,0.0,13.0,5.142857142857143,0.0,0.0,13.0,0.5714285714285714,0.0,0.0,1.0,4.333333333333333,0.0,0.0,13.0,3.642857142857143,0.0,0.0,10.0
spi<-2_tasmax>32.22,ssp126,2033,0,1,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.5238095238095237,0.0,0.0,1.0,2.4285714285714284,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,2.0476190476190474,0.0,0.0,0.0,1.5238095238095237,0.0,0.0,0.0
spi<-2_tasmax>32.22,ssp126,2034,0,0,0,21,3,0,7,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,21,3,0,7,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,21,3,0,7,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0.0,0.0,0.0,21.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,0.0,0.0,8.0,2.380952380952381,0.0,0.0,8.0,0.2857142857142857,0.0,0.0,1.0,2.238095238095238,0.0,0.0,8.0,2.119047619047619,0.0,0.0,7.0
spi<-2_tasmax>32.22,ssp126,2035,0,0,12,0,0,0,0,15,0,0,0,0,9,0,0,0,0,0,10,0,7,0,0,12,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,8,0,7,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,8,0,7,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,2.5238095238095237,0.0,0.0,10.0,2.380952380952381,0.0,0.0,9.0,0.3333333333333333,0.0,0.0,1.0,2.0476190476190474,0.0,0.0,9.0,1.7619047619047619,0.0,0.0,7.0
spi<-2_tasmax>32.22,ssp126,2036,0,0,0,7,16,2,0,0,0,0,0,0,2,0,0,0,5,0,5,0,15,0,0,0,7,16,2,0,0,0,0,0,0,2,0,0,0,5,0,5,0,15,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,4,11,2,0,0,0,0,0,0,2,0,0,0,5,0,5,0,15,0.0,0.0,0.0,3.5,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,15.0,2.4761904761904763,0.0,0.0,7.0,2.4761904761904763,0.0,0.0,7.0,0.42857142857142855,0.0,0.0,1.0,2.0952380952380953,0.0,0.0,5.0,1.9285714285714286,0.0,0.0,5.0
spi<-2_tasmax>32.22,ssp126,2037,0,0,0,38,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,14,0,0,0,0,37,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,14,0,0.0,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.857142857142857,0.0,0.0,6.0,2.761904761904762,0.0,0.0,5.0,0.42857142857142855,0.0,0.0,1.0,2.0952380952380953,0.0,0.0,5.0,1.293809523809524,0.0,0.0,5.0
spi<-2_tasmax>32.22,ssp126,2038,0,9,0,0,0,24,0,0,0,10,0,0,19,0,0,0,0,0,0,0,5,0,9,0,0,0,22,0,0,0,9,0,0,19,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,6,0,0,0,15,0,0,0,9,0,0,11,0,0,0,0,0,0,0,4,0.0,4.5,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.1904761904761907,0.0,0.0,10.0,3.0,0.0,0.0,9.0,0.47619047619047616,0.0,0.0,2.0,2.142857142857143,0.0,0.0,9.0,1.5833333333333333,0.0,0.0,4.75
spi<-2_tasmax>32.22,ssp126,2039,0,0,0,20,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,19,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,9.5,0.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,0.0,0.0,7.0,2.2857142857142856,0.0,0.0,7.0,0.23809523809523808,0.0,0.0,1.0,2.142857142857143,0.0,0.0,7.0,1.8333333333333333,0.0,0.0,7.0
spi<-2_tasmax>32.22,ssp126,2040,0,3,0,11,25,0,0,0,6,0,0,0,0,0,2,0,45,0,8,3,26,0,2,0,11,25,0,0,0,6,0,0,0,0,0,2,0,44,0,8,3,26,0,1,0,2,2,0,0,0,2,0,0,0,0,0,1,0,2,0,1,1,1,0,2,0,6,21,0,0,0,4,0,0,0,0,0,2,0,40,0,8,3,26,0.0,2.0,0.0,5.5,12.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,8.0,3.0,26.0,6.142857142857143,0.0,0.0,25.0,6.0476190476190474,0.0,0.0,25.0,0.6190476190476191,0.0,0.0,2.0,5.333333333333333,0.0,0.0,21.0,4.0,0.0,0.0,12.5
