threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.8_pr>50,ssp245,2074,14,20,22,0,8,43,27,20,58,35,88,22,79,68,57,13,86,21,34,92,12,20,21,0,8,41,26,19,57,33,84,21,76,67,56,12,85,18,33,92,3,4,5,0,2,7,7,4,8,7,8,5,11,11,8,3,11,2,5,11,8,9,7,0,6,9,6,8,15,7,22,6,14,20,11,6,26,9,12,26,4.0,5.0,4.2,0.0,4.0,5.86,3.71,4.75,7.12,4.71,10.5,4.2,6.91,6.09,7.0,4.0,7.73,9.0,6.6,8.36,40.35,30.5,12.5,86.2,39.05,29.5,11.600000000000001,84.1,6.1,6.0,2.0,11.0,11.35,9.0,6.0,22.400000000000006,5.687,5.43,3.971,8.424000000000001
rzsm>0.8_pr>50,ssp245,2075,25,85,48,5,76,43,27,42,47,61,17,53,74,48,36,23,32,6,39,66,25,82,46,5,75,41,27,41,46,60,17,51,72,48,36,23,32,6,37,65,5,10,8,1,10,8,5,8,9,5,3,9,7,7,5,4,2,2,7,7,7,19,13,5,11,12,10,8,10,25,7,12,31,17,17,8,17,4,9,18,5.0,8.2,5.75,5.0,7.5,5.12,5.4,5.12,5.11,12.0,5.67,5.67,10.29,6.86,7.2,5.75,16.0,3.0,5.29,9.29,42.65,42.5,15.900000000000002,74.2,41.75,41.0,15.900000000000002,72.30000000000001,6.1,7.0,2.0,9.100000000000001,13.0,11.5,6.800000000000001,19.60000000000001,6.9609999999999985,5.71,5.0,10.461000000000002
rzsm>0.8_pr>50,ssp245,2076,24,40,83,4,2,21,45,31,42,42,45,25,31,81,95,54,31,34,3,59,22,39,83,2,2,21,44,29,42,42,45,25,31,77,95,54,31,34,2,58,6,8,14,1,1,5,6,5,9,6,10,3,6,11,11,10,7,6,1,7,7,8,16,2,2,9,13,12,7,11,11,17,9,16,22,11,11,9,2,16,3.67,4.88,5.93,2.0,2.0,4.2,7.33,5.8,4.67,7.0,4.5,8.33,5.17,7.0,8.64,5.4,4.43,5.67,2.0,8.29,39.6,37.0,3.9000000000000004,81.2,38.9,36.5,2.0,77.60000000000001,6.65,6.0,1.0,11.0,10.55,11.0,2.0,16.1,5.3454999999999995,5.285,2.0,8.293999999999999
rzsm>0.8_pr>50,ssp245,2077,58,44,39,9,8,32,29,13,28,25,53,30,19,20,18,88,67,51,7,21,56,42,38,6,7,31,29,13,27,24,53,28,18,18,18,87,67,51,6,20,11,6,10,3,1,6,5,2,5,6,9,6,4,4,2,9,11,8,1,5,10,10,6,2,7,7,13,7,8,6,10,6,11,7,12,18,13,12,6,6,5.09,7.0,3.8,2.0,7.0,5.17,5.8,6.5,5.4,4.0,5.89,4.67,4.5,4.5,9.0,9.67,6.09,6.38,6.0,4.0,32.95,28.5,8.9,58.90000000000001,31.95,27.5,6.9,57.100000000000016,5.7,5.5,1.9000000000000001,10.100000000000001,8.85,7.5,6.0,13.0,5.622999999999999,5.6,3.98,7.200000000000003
rzsm>0.8_pr>50,ssp245,2078,21,24,11,0,20,36,26,63,52,32,37,25,66,11,102,60,74,76,32,62,21,23,10,0,19,35,24,61,51,32,36,24,63,9,102,60,74,73,32,60,4,5,2,0,3,7,5,7,10,7,7,5,8,2,9,7,5,12,5,10,7,8,6,0,7,7,8,34,8,9,13,7,14,5,32,20,39,13,11,11,5.25,4.6,5.0,0.0,6.33,5.0,4.8,8.71,5.1,4.57,5.14,4.8,7.88,4.5,11.33,8.57,14.8,6.08,6.4,6.0,41.5,34.0,11.0,74.2,40.45,33.5,9.9,73.1,6.0,6.0,2.0,10.0,12.95,8.5,5.9,32.2,6.242999999999999,5.195,4.563000000000001,8.972000000000005
rzsm>0.8_pr>50,ssp245,2079,79,61,49,6,21,49,45,29,62,34,74,70,15,72,46,3,70,77,34,81,77,60,49,4,20,49,45,27,61,34,74,69,15,71,46,0,69,74,32,79,11,8,8,1,4,10,6,6,8,8,10,9,3,11,11,0,13,11,5,13,15,32,12,4,9,14,12,7,16,9,13,17,7,10,7,0,11,22,13,14,7.0,7.5,6.12,4.0,5.0,4.9,7.5,4.5,7.62,4.25,7.4,7.67,5.0,6.45,4.18,0.0,5.31,6.73,6.4,6.08,48.85,49.0,14.100000000000001,77.2,47.75,49.0,13.900000000000002,74.30000000000001,7.8,8.0,2.8000000000000003,11.200000000000003,12.2,12.0,6.7,17.500000000000007,5.6805,6.1,4.162,7.5120000000000005
rzsm>0.8_pr>50,ssp245,2080,62,30,32,2,9,45,44,36,22,34,59,108,40,82,19,46,85,66,15,98,58,28,32,2,9,45,43,35,21,34,58,108,38,78,19,45,85,66,14,96,9,5,4,1,3,5,6,4,4,6,9,18,8,11,5,7,7,8,4,18,13,10,23,2,5,18,14,12,7,7,11,13,9,13,8,10,38,16,4,11,6.44,5.6,8.0,2.0,3.0,9.0,7.17,8.75,5.25,5.67,6.44,6.0,4.75,7.09,3.8,6.43,12.14,8.25,3.5,5.33,46.7,42.0,14.4,86.30000000000001,45.7,40.5,13.5,86.10000000000002,7.1,6.0,3.9000000000000004,11.70000000000001,12.2,11.0,4.9,18.500000000000007,6.230500000000001,6.215,3.45,8.775
rzsm>0.8_pr>50,ssp245,2081,60,18,50,4,24,23,40,50,67,31,31,62,62,24,151,80,34,18,2,109,58,16,50,4,23,21,39,47,65,27,30,62,61,22,150,80,31,17,0,104,11,2,6,1,3,5,8,8,11,7,4,5,10,6,19,14,7,4,0,15,7,10,18,4,13,6,7,15,10,7,11,33,16,7,47,10,11,5,0,14,5.27,8.0,8.33,4.0,7.67,4.2,4.88,5.88,5.91,3.86,7.5,12.4,6.1,3.67,7.89,5.71,4.43,4.25,0.0,6.93,47.0,37.0,16.6,82.90000000000003,45.35,35.0,14.8,82.40000000000003,7.3,6.5,1.9000000000000001,14.100000000000001,12.55,10.0,4.9,19.50000000000002,5.844000000000001,5.795,3.8409999999999997,8.033000000000001
rzsm>0.8_pr>50,ssp245,2082,89,32,50,13,52,70,43,19,29,40,36,35,92,2,116,23,5,44,46,69,88,32,48,12,52,69,43,17,29,36,35,33,91,2,115,22,4,44,44,69,14,9,7,3,11,13,8,5,6,6,7,8,14,1,12,4,1,7,8,9,13,6,15,5,6,7,10,6,7,9,10,9,22,2,29,8,4,11,9,17,6.29,3.56,6.86,4.0,4.73,5.31,5.38,3.4,4.83,6.0,5.0,4.12,6.5,2.0,9.58,5.5,4.0,6.29,5.5,7.67,45.25,41.5,12.200000000000001,89.30000000000001,44.25,39.5,11.200000000000001,88.30000000000001,7.65,7.5,2.8000000000000003,13.100000000000001,10.25,9.0,4.9,17.500000000000007,5.326,5.345,3.544,6.941000000000002
rzsm>0.8_pr>50,ssp245,2083,89,33,21,0,37,57,11,36,41,24,7,67,68,92,103,42,34,37,27,55,87,31,20,0,37,54,9,36,40,24,6,65,64,91,101,41,32,35,22,54,13,5,3,0,8,7,2,7,9,4,2,11,5,8,12,6,5,6,4,8,11,10,10,0,9,14,6,7,7,7,3,12,19,27,44,9,18,23,9,13,6.69,6.2,6.67,0.0,4.62,7.71,4.5,5.14,4.44,6.0,3.0,5.91,12.8,11.38,8.42,6.83,6.4,5.83,5.5,6.75,44.05,37.0,10.600000000000001,89.30000000000001,42.45,36.5,8.700000000000001,87.4,6.25,6.0,2.0,11.100000000000001,12.9,10.0,5.7,23.400000000000006,6.2395,6.1,4.296,8.716000000000005
rzsm>0.8_pr>50,ssp245,2084,32,74,46,0,25,48,63,86,38,16,62,54,93,46,26,69,97,25,19,62,32,71,42,0,24,47,62,86,36,16,62,51,91,46,26,67,95,24,17,62,6,12,8,0,6,8,11,11,8,4,10,9,9,8,6,11,14,3,4,13,10,9,14,0,8,11,14,17,8,7,15,12,56,12,7,11,15,17,7,8,5.33,5.92,5.25,0.0,4.0,5.88,5.64,7.82,4.5,4.0,6.2,5.67,10.11,5.75,4.33,6.09,6.79,8.0,4.25,4.77,49.05,47.0,18.7,86.70000000000002,47.85,46.5,16.9,86.5,8.05,8.0,3.9000000000000004,12.100000000000001,12.9,11.0,7.0,17.0,5.515,5.654999999999999,4.0,7.838
rzsm>0.8_pr>50,ssp245,2085,28,54,47,30,42,52,64,16,58,68,52,76,85,60,7,50,42,20,56,23,27,54,47,28,41,50,62,16,58,65,49,74,85,59,7,48,41,17,55,21,4,11,7,9,7,8,11,3,8,11,8,9,13,12,1,6,5,4,11,4,11,8,13,6,11,11,8,8,11,19,10,14,23,7,7,19,22,6,9,7,6.75,4.91,6.71,3.11,5.86,6.25,5.64,5.33,7.25,5.91,6.12,8.22,6.54,4.92,7.0,8.0,8.2,4.25,5.0,5.25,46.5,51.0,19.6,68.80000000000001,45.2,48.5,16.9,65.9,7.6,8.0,3.9000000000000004,11.100000000000001,11.5,10.5,6.9,19.300000000000004,6.061000000000001,6.015000000000001,4.844,8.02
rzsm>0.8_pr>50,ssp245,2086,27,46,60,2,59,12,94,31,62,73,62,87,54,35,11,30,34,59,34,30,25,46,57,0,59,12,92,30,62,70,60,85,52,35,11,29,32,58,34,28,6,7,12,0,11,2,14,9,10,10,12,13,8,9,4,5,8,9,8,6,8,12,9,0,10,9,12,7,8,12,8,15,10,7,3,9,7,12,9,8,4.17,6.57,4.75,0.0,5.36,6.0,6.57,3.33,6.2,7.0,5.0,6.54,6.5,3.89,2.75,5.8,4.0,6.44,4.25,4.67,45.1,40.5,11.9,74.40000000000002,43.85,40.5,11.9,71.50000000000003,8.15,8.5,3.8000000000000003,12.100000000000001,8.75,9.0,6.6000000000000005,12.0,4.9895000000000005,5.18,3.2720000000000002,6.57
rzsm>0.8_pr>50,ssp245,2087,55,46,71,9,16,3,10,44,70,23,39,55,110,68,29,43,25,29,14,111,53,45,69,4,15,3,10,43,69,22,35,53,109,68,29,43,25,27,13,111,6,9,11,1,3,1,4,8,12,4,8,8,16,10,7,8,4,5,3,12,18,11,13,4,8,3,4,13,11,6,7,12,21,17,10,9,11,6,6,27,8.83,5.0,6.27,4.0,5.0,3.0,2.5,5.38,5.75,5.5,4.38,6.62,6.81,6.8,4.14,5.38,6.25,5.4,4.33,9.25,43.5,41.0,9.9,74.90000000000006,42.3,39.0,9.4,73.00000000000006,7.0,7.5,2.8000000000000003,12.0,10.85,10.5,4.0,18.300000000000004,5.5295000000000005,5.390000000000001,3.9000000000000004,7.012000000000002
rzsm>0.8_pr>50,ssp245,2088,54,20,82,13,16,71,49,37,78,20,49,85,73,71,89,48,64,13,50,46,52,20,81,12,14,71,49,37,78,20,48,83,72,70,89,45,64,12,47,42,10,5,10,4,3,10,8,7,13,5,6,11,13,10,8,6,5,2,9,8,9,11,23,4,7,12,8,9,9,5,25,17,12,13,20,18,20,10,8,10,5.2,4.0,8.1,3.0,4.67,7.1,6.12,5.29,6.0,4.0,8.0,7.55,5.54,7.0,11.12,7.5,12.8,6.0,5.22,5.25,51.4,49.5,15.700000000000001,82.30000000000001,50.3,48.5,13.8,81.2,7.65,8.0,3.9000000000000004,11.200000000000003,12.5,10.5,6.800000000000001,20.300000000000004,6.473000000000001,6.0,4.0,8.402000000000005
rzsm>0.8_pr>50,ssp245,2089,63,15,63,4,9,46,6,66,79,97,97,72,122,58,59,20,85,63,35,92,63,14,62,4,8,45,5,65,79,96,94,70,119,56,59,16,84,62,34,89,12,3,10,1,1,10,1,8,10,12,12,12,15,10,7,5,12,10,7,10,16,8,13,4,8,7,5,16,21,15,18,12,20,11,22,5,24,14,10,22,5.25,4.67,6.2,4.0,8.0,4.5,5.0,8.12,7.9,8.0,7.83,5.83,7.93,5.6,8.43,3.2,7.0,6.2,4.86,8.9,57.55,63.0,8.700000000000001,97.0,56.2,62.0,7.7,94.2,8.4,10.0,1.0,12.0,13.55,13.5,5.0,22.0,6.371,6.2,4.45,8.151
