threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2025,39,38,28,70,36,82,30,18,26,67,76,73,54,37,22,55,46,19,46,37,37,37,27,69,35,79,30,18,26,67,75,69,51,37,22,53,43,19,45,36,6,7,5,12,6,12,6,3,3,7,13,12,9,5,4,8,6,5,5,6,11,7,7,14,7,13,9,14,11,23,21,9,16,16,7,17,13,6,25,11,6.17,5.29,5.4,5.75,5.83,6.58,5.0,6.0,8.67,9.57,5.77,5.75,5.67,7.4,5.5,6.62,7.17,3.8,9.0,6.0,44.95,38.5,21.7,73.30000000000001,43.75,37.0,21.7,69.60000000000001,7.0,6.0,3.9000000000000004,12.0,12.85,12.0,7.0,21.200000000000003,6.3469999999999995,5.915,5.261,8.703000000000001
rzsm>0.7_pr>50,ssp245,2026,76,64,28,50,17,117,69,45,0,55,104,37,32,25,21,73,87,82,8,39,74,64,27,48,16,115,69,43,0,55,104,33,32,25,21,72,86,79,8,38,11,12,5,9,3,17,11,11,0,8,15,5,8,4,2,11,8,12,2,6,14,12,8,7,8,15,20,6,0,11,19,12,7,9,19,14,43,14,6,11,6.73,5.33,5.4,5.33,5.33,6.76,6.27,3.91,0.0,6.88,6.93,6.6,4.0,6.25,10.5,6.55,10.75,6.58,4.0,6.33,51.45,47.5,16.1,88.70000000000002,50.45,45.5,15.200000000000001,87.80000000000003,8.0,8.0,2.0,12.300000000000004,12.75,11.5,6.0,19.1,6.021499999999999,6.3,3.991,7.287000000000004
rzsm>0.7_pr>50,ssp245,2027,55,95,119,72,9,65,44,63,8,37,53,41,2,73,0,122,79,55,6,4,54,95,117,70,8,64,44,62,8,36,52,41,2,72,0,122,79,53,5,3,11,12,16,14,3,11,8,12,2,7,9,8,1,10,0,16,12,10,1,1,12,22,20,15,4,13,10,9,6,11,12,8,2,11,0,14,33,14,5,3,4.91,7.92,7.31,5.0,2.67,5.82,5.5,5.17,4.0,5.14,5.78,5.12,2.0,7.2,0.0,7.62,6.58,5.3,5.0,3.0,50.1,54.0,3.8000000000000003,97.40000000000003,49.35,52.5,2.9000000000000004,97.20000000000003,8.2,9.5,1.0,14.200000000000003,11.2,11.0,2.9000000000000004,20.200000000000003,5.0520000000000005,5.154999999999999,2.603,7.341
rzsm>0.7_pr>50,ssp245,2028,16,98,49,67,33,28,6,35,38,55,79,48,4,55,29,41,124,52,56,6,16,94,47,66,32,27,6,34,37,55,79,46,4,54,28,41,122,50,53,5,4,9,10,14,6,5,2,5,4,10,12,3,2,9,2,7,9,9,9,1,5,25,11,14,8,12,3,13,15,15,12,25,2,16,23,10,41,12,13,5,4.0,10.44,4.7,4.71,5.33,5.4,3.0,6.8,9.25,5.5,6.58,15.33,2.0,6.0,14.0,5.86,13.56,5.56,5.89,5.0,45.95,44.5,6.0,80.90000000000003,44.8,43.5,5.9,80.50000000000003,6.6,6.5,2.0,10.200000000000003,14.0,12.5,4.800000000000001,25.0,6.945499999999998,5.71,3.9000000000000004,13.604000000000001
rzsm>0.7_pr>50,ssp245,2029,6,34,47,45,11,36,35,28,31,55,73,76,87,43,79,42,110,30,48,48,6,34,47,45,10,33,33,27,29,53,72,75,87,43,78,41,109,28,48,47,2,5,8,8,2,6,7,5,4,7,11,10,10,8,9,7,11,6,9,7,3,11,11,11,7,7,6,9,9,16,12,22,40,14,18,11,32,8,14,11,3.0,6.8,5.88,5.62,5.0,5.5,4.71,5.4,7.25,7.57,6.55,7.5,8.7,5.38,8.67,5.86,9.91,4.67,5.33,6.71,48.2,44.0,26.3,79.80000000000001,47.25,44.0,25.3,78.9,7.1,7.0,3.8000000000000003,10.100000000000001,13.6,11.0,6.9,23.000000000000014,6.3004999999999995,5.87,4.706,8.673
rzsm>0.7_pr>50,ssp245,2030,21,30,28,89,44,69,30,134,37,76,88,35,115,63,95,71,130,5,22,37,21,29,28,88,40,69,28,134,35,76,88,34,110,61,93,70,128,5,19,34,4,7,5,12,8,8,5,16,8,12,10,6,16,12,11,11,13,1,3,8,8,8,13,13,14,30,7,27,7,11,18,7,19,8,20,11,46,5,10,7,5.25,4.14,5.6,7.33,5.0,8.62,5.6,8.38,4.38,6.33,8.8,5.67,6.88,5.08,8.45,6.36,9.85,5.0,6.33,4.25,60.95,53.5,21.9,116.50000000000003,59.5,50.5,20.8,111.80000000000003,8.8,8.0,3.9000000000000004,13.300000000000004,14.45,11.0,7.0,27.300000000000004,6.365,6.0,4.367,8.638
rzsm>0.7_pr>50,ssp245,2031,9,39,45,14,20,92,75,38,54,97,27,45,41,0,71,55,137,96,63,58,9,37,44,14,18,91,73,37,52,94,25,45,40,0,68,54,136,96,62,58,3,5,8,2,3,12,11,5,8,14,4,8,7,0,9,9,12,12,10,10,5,17,7,7,10,21,21,11,17,15,11,11,8,0,28,9,43,19,20,8,3.0,7.4,5.5,7.0,6.0,7.58,6.64,7.4,6.5,6.71,6.25,5.62,5.71,0.0,7.56,6.0,11.33,8.0,6.2,5.8,53.8,49.5,13.5,96.1,52.65,48.5,13.5,94.2,7.6,8.0,2.9000000000000004,12.0,14.4,11.0,6.800000000000001,21.70000000000001,6.31,6.375,5.25,7.622000000000001
rzsm>0.7_pr>50,ssp245,2032,23,88,116,83,12,45,70,60,65,46,88,68,114,58,37,72,85,30,33,61,23,87,114,81,10,43,70,58,63,44,87,67,114,56,36,71,85,29,32,60,4,11,14,13,2,6,11,9,10,7,14,9,12,11,6,12,11,6,6,11,8,27,21,19,7,13,14,11,16,19,15,12,24,9,9,9,33,7,8,9,5.75,7.91,8.14,6.23,5.0,7.17,6.36,6.44,6.3,6.29,6.21,7.44,9.5,5.09,6.0,5.92,7.73,4.83,5.33,5.45,62.7,63.0,29.3,90.60000000000004,61.5,61.5,28.400000000000002,89.70000000000005,9.25,10.5,5.800000000000001,13.100000000000001,14.5,12.5,7.9,24.300000000000004,6.4545,6.26,5.0809999999999995,7.933000000000001
rzsm>0.7_pr>50,ssp245,2033,3,7,82,74,0,38,71,57,62,34,83,15,54,118,19,32,158,73,16,5,2,7,81,74,0,38,70,57,58,34,82,15,52,116,18,31,157,73,16,5,1,2,12,13,0,8,9,11,10,5,13,3,7,14,3,3,12,12,1,1,2,5,20,12,0,10,31,12,11,12,14,7,15,19,6,22,46,14,16,5,2.0,3.5,6.75,5.69,0.0,4.75,7.78,5.18,5.8,6.8,6.31,5.0,7.43,8.29,6.0,10.33,13.08,6.08,16.0,5.0,50.05,46.0,4.800000000000001,86.50000000000006,49.3,45.0,4.7,85.40000000000005,7.0,7.5,1.0,13.0,13.95,12.0,4.7,22.900000000000013,6.588499999999999,6.04,3.35,10.605000000000004
rzsm>0.7_pr>50,ssp245,2034,41,8,91,55,11,103,69,82,63,16,36,94,111,53,87,16,204,7,10,14,41,7,88,55,11,103,68,80,61,14,35,93,108,52,87,15,203,7,9,14,8,1,13,8,4,14,12,9,10,2,6,10,12,5,11,3,14,3,2,3,9,7,16,15,3,12,8,30,15,8,10,17,20,26,25,6,45,3,5,6,5.12,7.0,6.77,6.88,2.75,7.36,5.67,8.89,6.1,7.0,5.83,9.3,9.0,10.4,7.91,5.0,14.5,2.33,4.5,4.67,58.55,54.0,9.8,103.80000000000001,57.55,53.5,8.8,103.5,7.5,8.0,2.0,13.100000000000001,14.3,11.0,4.800000000000001,26.400000000000006,6.848999999999999,6.824999999999999,4.325,9.410000000000002
rzsm>0.7_pr>50,ssp245,2035,82,66,18,95,4,20,91,88,123,56,48,51,64,51,12,21,26,72,29,18,82,64,18,90,4,17,89,87,121,56,47,50,62,51,11,21,25,72,28,17,10,12,4,9,1,4,12,10,17,5,9,6,7,9,2,5,5,7,5,5,29,12,7,23,4,7,15,23,17,21,8,16,16,12,6,8,9,19,10,6,8.2,5.33,4.5,10.0,4.0,4.25,7.42,8.7,7.12,11.2,5.22,8.33,8.86,5.67,5.5,4.2,5.0,10.29,5.6,3.4,51.75,51.0,17.400000000000002,91.4,50.6,50.5,16.400000000000002,89.1,7.2,6.5,3.8000000000000003,12.0,13.4,12.0,6.0,23.0,6.6395,5.635,4.180000000000001,10.029
rzsm>0.7_pr>50,ssp245,2036,21,92,37,69,5,39,25,18,30,82,24,39,44,32,70,79,186,56,41,28,21,89,36,69,4,38,24,18,30,80,24,39,44,31,69,78,183,55,40,28,3,11,8,10,1,7,3,4,6,11,4,6,8,5,8,14,20,8,7,4,13,15,7,20,4,9,13,7,7,23,13,9,12,11,32,12,36,11,12,11,7.0,8.09,4.5,6.9,4.0,5.43,8.0,4.5,5.0,7.27,6.0,6.5,5.5,6.2,8.62,5.57,9.15,6.88,5.71,7.0,50.85,39.0,20.7,83.00000000000001,50.0,38.5,20.7,80.9,7.4,7.0,3.0,11.300000000000004,13.85,12.0,7.0,23.900000000000013,6.391,6.35,4.5,8.143
rzsm>0.7_pr>50,ssp245,2037,68,39,79,57,14,50,38,23,0,33,23,30,59,70,37,74,92,59,17,53,67,37,79,55,10,50,37,23,0,33,22,30,58,69,37,73,92,57,17,53,9,7,12,11,3,8,6,3,0,6,6,7,9,10,4,11,7,11,4,8,16,7,12,7,5,8,10,13,0,9,6,8,14,14,13,11,31,8,6,13,7.44,5.29,6.58,5.0,3.33,6.25,6.17,7.67,0.0,5.5,3.67,4.29,6.44,6.9,9.25,6.64,13.14,5.18,4.25,6.62,45.75,44.5,16.7,74.5,44.95,43.5,16.3,73.60000000000001,7.1,7.0,3.0,11.0,10.55,9.5,5.9,14.200000000000003,5.980500000000001,6.21,3.636,7.828000000000002
rzsm>0.7_pr>50,ssp245,2038,55,48,49,110,24,70,33,47,28,84,38,70,2,38,12,30,166,83,51,19,54,47,48,108,18,66,32,46,24,83,37,68,0,38,11,29,164,82,50,19,7,8,7,11,5,10,7,7,6,13,9,12,0,7,4,4,10,13,10,4,14,12,10,19,6,18,8,10,7,16,7,9,0,12,5,10,55,10,9,7,7.71,5.88,6.86,9.82,3.6,6.6,4.57,6.57,4.0,6.38,4.11,5.67,0.0,5.43,2.75,7.25,16.4,6.31,5.0,4.75,52.85,47.5,18.3,86.60000000000004,51.2,46.5,17.3,85.50000000000003,7.7,7.0,4.0,12.100000000000001,12.2,10.0,5.9,18.1,5.983000000000001,5.775,3.515,7.921000000000003
rzsm>0.7_pr>50,ssp245,2039,13,11,54,87,7,37,58,60,74,48,92,79,54,39,38,29,88,44,34,25,10,11,52,86,7,36,56,60,73,47,92,76,54,39,38,29,87,44,33,25,2,2,8,12,2,8,9,10,8,9,14,14,7,6,7,6,7,8,4,5,7,7,12,13,4,10,14,10,19,13,12,8,13,16,10,12,31,8,20,10,5.0,5.5,6.5,7.17,3.5,4.5,6.22,6.0,9.12,5.22,6.57,5.43,7.71,6.5,5.43,4.83,12.43,5.5,8.25,5.0,48.55,46.0,12.8,87.1,47.75,45.5,10.9,86.1,7.4,7.5,2.0,12.200000000000003,12.45,12.0,7.0,19.1,6.318999999999998,5.75,4.797,8.337000000000002
rzsm>0.7_pr>50,ssp245,2040,27,11,63,68,0,13,85,4,50,11,46,30,50,26,101,53,86,37,42,30,26,10,62,66,0,12,83,3,48,10,45,29,48,25,100,51,85,36,39,30,4,2,11,10,0,2,11,1,7,2,8,3,9,3,10,11,10,6,7,7,10,6,13,12,0,6,22,3,17,7,11,15,14,11,41,11,28,13,14,7,6.5,5.0,5.64,6.6,0.0,6.0,7.55,3.0,6.86,5.0,5.62,9.67,5.33,8.33,10.0,4.64,8.5,6.0,5.57,4.29,41.65,39.5,10.3,85.1,40.4,37.5,9.3,83.2,6.2,7.0,1.9000000000000001,11.0,13.05,11.5,5.7,22.60000000000001,6.005000000000001,5.82,4.1610000000000005,8.617
rzsm>0.7_pr>50,ssp245,2041,52,41,97,54,0,40,30,54,14,20,31,8,40,97,110,85,129,83,15,53,49,41,97,54,0,37,29,52,14,19,30,8,38,96,105,85,128,82,14,50,8,7,13,11,0,7,7,7,2,4,8,3,7,13,11,12,11,14,4,10,12,12,12,7,0,8,8,16,7,6,6,3,12,17,27,19,27,16,5,7,6.12,5.86,7.46,4.91,0.0,5.29,4.14,7.43,7.0,4.75,3.75,2.67,5.43,7.38,9.55,7.08,11.64,5.86,3.5,5.0,52.65,46.5,13.4,98.30000000000001,51.4,45.0,13.4,97.80000000000001,7.95,7.5,2.9000000000000004,13.0,11.35,10.0,4.800000000000001,19.80000000000001,5.741,5.645,3.4170000000000003,7.669000000000003
