threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2025,36,29,7,2,29,23,12,32,38,31,14,56,8,44,18,29,106,36,33,38,36,28,6,0,26,22,11,32,37,29,13,54,8,42,18,29,102,35,32,35,6,5,2,0,6,5,2,6,7,7,3,10,3,8,5,6,15,8,5,5,7,7,3,0,6,6,8,11,7,7,7,11,4,7,5,7,22,7,10,9,6.0,5.6,3.0,0.0,4.33,4.4,5.5,5.33,5.29,4.14,4.33,5.4,2.67,5.25,3.6,4.83,6.8,4.38,6.4,7.0,31.05,30.0,7.9,45.20000000000002,29.75,29.0,7.800000000000001,43.20000000000002,5.7,5.5,2.0,8.200000000000003,7.55,7.0,3.9000000000000004,11.0,4.7124999999999995,5.04,2.967,6.440000000000001
rzsm>0.7_pr>50,ssp245,2026,60,31,42,9,22,0,10,34,25,54,35,42,19,7,23,38,110,19,46,34,59,30,42,9,22,0,10,33,25,54,32,36,19,7,23,37,110,19,46,33,7,5,8,2,4,0,2,8,5,7,6,7,4,1,4,4,11,5,6,6,15,8,8,5,8,0,8,5,7,14,10,8,7,7,6,13,21,7,17,7,8.43,6.0,5.25,4.5,5.5,0.0,5.0,4.12,5.0,7.71,5.33,5.14,4.75,7.0,5.75,9.25,10.0,3.8,7.67,5.5,33.0,32.5,8.8,54.60000000000001,32.3,31.0,8.8,54.50000000000001,5.1,5.0,1.9000000000000001,8.0,9.05,8.0,5.0,15.200000000000003,5.784999999999999,5.415,4.088,8.512
rzsm>0.7_pr>50,ssp245,2027,59,58,82,1,39,31,12,49,54,28,25,12,17,18,4,42,104,1,36,25,56,57,81,0,38,31,11,47,53,25,25,12,16,18,4,41,102,0,36,24,11,11,13,0,9,7,2,9,9,5,3,2,5,4,1,9,15,0,4,4,7,8,11,0,7,8,6,8,11,7,12,6,5,6,4,8,30,0,15,8,5.09,5.18,6.23,0.0,4.22,4.43,5.5,5.22,5.89,5.0,8.33,6.0,3.2,4.5,4.0,4.56,6.8,0.0,9.0,6.0,34.85,29.5,3.7,61.30000000000003,33.85,28.0,3.6000000000000005,59.400000000000034,6.15,5.0,0.9000000000000001,11.200000000000003,8.35,7.5,3.6000000000000005,12.300000000000004,4.9575,5.135,2.880000000000001,6.953000000000002
rzsm>0.7_pr>50,ssp245,2028,38,38,26,15,32,31,39,23,8,14,32,36,28,32,15,33,69,19,16,39,36,36,25,13,29,30,39,20,8,11,31,35,28,31,15,33,66,18,14,39,8,8,7,4,4,7,7,6,1,3,6,8,7,5,4,6,8,6,3,9,8,6,8,7,16,7,11,5,8,6,7,6,7,10,5,11,28,4,6,6,4.5,4.5,3.57,3.25,7.25,4.29,5.57,3.33,8.0,3.67,5.17,4.38,4.0,6.2,3.75,5.5,8.25,3.0,4.67,4.33,29.15,31.5,14.9,39.0,27.85,29.5,12.8,39.0,5.85,6.0,3.0,8.0,8.6,7.0,5.0,11.500000000000007,4.859,4.4399999999999995,3.322,7.325000000000001
rzsm>0.7_pr>50,ssp245,2029,31,39,46,9,15,35,53,22,3,18,17,45,57,45,25,20,139,19,30,47,28,39,44,9,14,33,53,21,3,17,17,45,57,44,25,19,139,18,29,47,6,6,9,2,3,7,8,3,1,5,3,8,12,7,4,5,11,4,3,8,9,15,9,6,8,8,15,8,3,5,8,13,13,8,12,6,34,7,20,10,4.67,6.5,4.89,4.5,4.67,4.71,6.62,7.0,3.0,3.4,5.67,5.62,4.75,6.29,6.25,3.8,12.64,4.5,9.67,5.88,35.75,30.5,14.4,53.400000000000006,35.05,28.5,13.5,53.400000000000006,5.75,5.5,2.9000000000000004,9.200000000000003,10.85,8.5,5.9,15.500000000000007,5.7515,5.255,3.76,7.267000000000004
rzsm>0.7_pr>50,ssp245,2030,23,23,16,9,25,32,17,29,28,38,27,26,13,50,12,13,117,16,25,35,23,20,15,6,21,32,16,29,27,36,26,25,12,49,12,12,116,15,25,35,4,5,3,2,4,6,3,4,5,8,5,5,4,11,3,3,10,4,2,6,6,6,5,4,7,8,7,16,6,12,10,9,5,7,5,7,38,6,20,10,5.75,4.0,5.0,3.0,5.25,5.33,5.33,7.25,5.4,4.5,5.2,5.0,3.0,4.45,4.0,4.0,11.6,3.75,12.5,5.83,28.7,25.0,12.9,39.20000000000002,27.6,24.0,12.0,37.30000000000002,4.85,4.0,2.9000000000000004,8.200000000000003,9.7,7.0,5.0,16.400000000000006,5.507,5.1,3.6750000000000003,7.685000000000006
rzsm>0.7_pr>50,ssp245,2031,30,35,35,1,36,45,15,7,44,24,28,37,5,8,19,52,101,13,25,21,26,34,34,0,34,45,14,7,43,22,24,37,5,8,19,51,101,11,24,20,7,7,5,0,8,7,5,2,12,5,5,8,1,3,4,8,13,2,7,3,6,6,11,0,7,14,4,4,6,6,7,8,5,3,8,12,26,6,6,12,3.71,4.86,6.8,0.0,4.25,6.43,2.8,3.5,3.58,4.4,4.8,4.62,5.0,2.67,4.75,6.38,7.77,5.5,3.43,6.67,29.05,26.5,6.800000000000001,45.70000000000001,27.95,24.0,6.800000000000001,45.60000000000001,5.6,5.0,1.9000000000000001,8.400000000000006,7.85,6.0,3.9000000000000004,12.200000000000003,4.596,4.6850000000000005,2.787,6.683
rzsm>0.7_pr>50,ssp245,2032,45,17,50,4,21,44,67,20,35,18,25,54,21,30,17,81,74,11,19,14,44,15,48,2,20,40,66,19,32,16,23,53,20,30,17,81,73,10,16,12,7,3,8,1,5,8,13,2,7,4,5,10,5,7,2,13,8,3,2,3,13,6,15,2,7,7,8,15,12,6,6,11,6,8,15,13,23,6,13,6,6.29,5.0,6.0,2.0,4.0,5.0,5.08,9.5,4.57,4.0,4.6,5.3,4.0,4.29,8.5,6.23,9.12,3.33,8.0,4.0,33.35,23.0,13.700000000000001,67.70000000000002,31.85,21.5,11.8,66.70000000000002,5.8,5.0,2.0,10.300000000000004,9.9,8.0,6.0,15.0,5.440500000000001,5.0,3.9330000000000003,8.562000000000001
rzsm>0.7_pr>50,ssp245,2033,18,24,36,0,10,14,1,12,20,23,20,62,50,24,21,29,182,23,10,46,16,24,35,0,10,13,0,12,20,23,19,61,44,23,21,26,182,22,9,46,4,5,6,0,4,2,0,2,3,9,4,11,9,5,5,5,15,5,3,7,6,9,9,0,3,11,0,6,7,4,7,13,7,7,6,7,51,6,4,11,4.0,4.8,5.83,0.0,2.5,6.5,0.0,6.0,6.67,2.56,4.75,5.55,4.89,4.6,4.2,5.2,12.13,4.4,3.0,6.57,31.25,22.0,9.100000000000001,51.20000000000002,30.3,21.5,8.100000000000001,47.50000000000002,5.2,5.0,1.8000000000000003,9.200000000000003,8.7,7.0,2.7,11.200000000000003,4.7075000000000005,4.775,2.2500000000000004,6.58
rzsm>0.7_pr>50,ssp245,2034,27,32,52,15,23,47,23,49,29,18,81,27,19,20,35,15,164,9,21,15,25,29,50,14,20,45,20,47,26,18,80,27,16,18,34,13,161,9,21,15,5,6,10,4,5,6,4,10,5,5,14,6,3,3,6,2,19,3,3,4,6,11,8,6,6,10,6,11,7,7,13,6,7,8,10,8,51,4,8,9,5.0,4.83,5.0,3.5,4.0,7.5,5.0,4.7,5.2,3.6,5.71,4.5,5.33,6.0,5.67,6.5,8.47,3.0,7.0,3.75,36.05,25.0,15.0,54.90000000000004,34.4,23.0,13.9,53.00000000000004,6.15,5.0,3.0,10.400000000000006,10.1,8.0,6.0,11.200000000000003,5.213,5.0,3.5900000000000003,7.050000000000001
rzsm>0.7_pr>50,ssp245,2035,48,47,24,9,27,26,2,44,36,7,28,16,19,17,10,44,132,2,24,10,48,45,24,7,26,24,0,43,35,6,26,14,18,16,10,43,129,2,22,9,8,9,5,2,7,4,0,6,8,1,7,4,5,3,2,5,11,1,4,3,11,7,9,5,7,11,0,11,10,6,6,5,5,6,7,13,33,2,7,4,6.0,5.0,4.8,3.5,3.71,6.0,0.0,7.17,4.38,6.0,3.71,3.5,3.6,5.33,5.0,8.6,11.73,2.0,5.5,3.0,28.6,24.0,6.500000000000001,47.1,27.35,23.0,5.6000000000000005,45.300000000000004,4.75,4.5,1.0,8.100000000000001,8.25,7.0,3.8000000000000003,11.200000000000003,4.9265,4.9,2.9000000000000004,7.313000000000002
rzsm>0.7_pr>50,ssp245,2036,26,28,11,7,7,49,24,18,4,17,39,31,31,13,12,48,156,22,23,12,24,25,10,7,6,47,23,18,4,16,39,29,31,13,12,45,154,22,22,10,8,4,3,2,1,6,4,4,1,5,9,6,7,3,3,9,16,4,2,3,7,8,4,4,6,19,8,6,4,5,9,7,7,6,6,12,45,7,17,5,3.0,6.25,3.33,3.5,6.0,7.83,5.75,4.5,4.0,3.2,4.33,4.83,4.43,4.33,4.0,5.0,9.62,5.5,11.0,3.33,28.9,22.5,7.0,48.1,27.85,22.0,6.9,45.2,5.0,4.0,1.9000000000000001,9.0,9.6,7.0,4.0,17.200000000000003,5.1865000000000006,4.465,3.317,8.009000000000002
rzsm>0.7_pr>50,ssp245,2037,25,36,43,13,8,39,1,30,16,18,53,31,14,33,38,47,119,29,11,27,25,35,43,13,7,37,0,30,16,18,51,30,12,30,36,45,115,27,11,25,4,6,7,3,2,6,0,6,3,5,11,6,3,5,6,6,10,9,2,7,7,10,13,6,4,7,0,9,8,6,7,9,6,12,14,13,45,6,6,6,6.25,5.83,6.14,4.33,3.5,6.17,0.0,5.0,5.33,3.6,4.64,5.0,4.0,6.0,6.0,7.5,11.5,3.0,5.5,3.57,31.55,29.5,10.700000000000001,47.60000000000001,30.3,28.5,10.600000000000001,45.60000000000001,5.35,6.0,2.0,9.100000000000001,9.7,7.0,5.800000000000001,13.100000000000001,5.142999999999999,5.165,3.45,6.375000000000002
rzsm>0.7_pr>50,ssp245,2038,21,24,44,0,13,13,24,22,38,11,46,27,36,49,24,51,168,29,40,19,21,24,44,0,12,13,24,22,36,9,46,26,33,49,20,47,167,27,39,18,5,5,7,0,3,3,6,4,7,2,6,5,8,11,3,10,15,5,5,4,9,7,19,0,5,8,6,8,7,6,17,7,7,7,14,7,48,7,20,8,4.2,4.8,6.29,0.0,4.0,4.33,4.0,5.5,5.14,4.5,7.67,5.2,4.12,4.45,6.67,4.7,11.13,5.4,7.8,4.5,34.95,25.5,12.8,49.2,33.85,25.0,11.700000000000001,47.2,5.7,5.0,2.9000000000000004,10.100000000000001,10.85,7.0,5.9,19.1,5.220000000000001,4.75,4.0,7.683
rzsm>0.7_pr>50,ssp245,2039,18,20,12,0,29,31,45,8,37,18,30,23,39,15,20,43,144,19,9,32,17,20,12,0,29,31,44,6,35,17,30,19,39,13,18,41,142,19,8,31,4,4,3,0,4,6,11,1,6,3,6,4,6,4,4,7,16,4,3,7,7,9,8,0,10,11,13,6,10,7,7,8,10,4,7,11,41,7,3,6,4.25,5.0,4.0,0.0,7.25,5.17,4.0,6.0,5.83,5.67,5.0,4.75,6.5,3.25,4.5,5.86,8.88,4.75,2.67,4.43,29.6,21.5,8.9,43.2,28.55,19.5,7.800000000000001,41.300000000000004,5.15,4.0,2.8000000000000003,7.400000000000006,9.25,7.5,3.9000000000000004,11.200000000000003,4.888,4.875,3.192,6.575000000000001
rzsm>0.7_pr>50,ssp245,2040,30,27,24,6,74,18,28,11,26,16,37,26,25,8,24,24,160,13,40,3,29,27,22,6,72,18,28,10,25,16,35,24,24,7,22,23,159,13,39,3,5,7,4,2,12,3,7,2,5,3,6,5,4,1,4,5,19,3,5,1,10,6,12,4,9,10,7,6,7,7,14,7,12,7,6,7,42,6,16,3,5.8,3.86,5.5,3.0,6.0,6.0,4.0,5.0,5.0,5.33,5.83,4.8,6.0,7.0,5.5,4.6,8.37,4.33,7.8,3.0,31.0,24.5,7.800000000000001,43.40000000000005,30.1,23.5,6.9,42.30000000000005,5.15,4.5,1.9000000000000001,7.500000000000007,9.9,7.0,5.800000000000001,14.200000000000003,5.335999999999999,5.415,3.774,7.080000000000001
rzsm>0.7_pr>50,ssp245,2041,21,32,62,0,28,40,9,47,19,16,27,23,9,42,41,61,184,21,52,19,17,31,60,0,28,40,8,47,19,15,25,23,8,41,38,60,184,20,51,18,3,8,11,0,5,7,2,7,5,3,5,5,2,10,6,12,13,4,7,3,11,7,8,0,9,10,5,11,6,7,11,7,5,7,10,11,44,6,25,9,5.67,3.88,5.45,0.0,5.6,5.71,4.0,6.71,3.8,5.0,5.0,4.6,4.0,4.1,6.33,5.0,14.15,5.0,7.29,6.0,37.65,27.5,9.0,61.1,36.65,26.5,8.0,60.0,5.9,5.0,2.0,11.100000000000001,10.45,8.5,5.0,12.40000000000002,5.364500000000001,5.0,3.872,6.768000000000001
