threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.8_pr>50,ssp245,2024,9,6,1,14,0,0,0,17,9,24,12,13,4,1,10,0,82,16,27,5,8,4,0,12,0,0,0,17,8,24,12,10,4,0,8,0,80,14,22,5,3,2,0,3,0,0,0,2,2,4,2,2,1,0,2,0,9,4,6,1,3,2,0,5,0,0,0,11,6,7,8,6,4,0,6,0,37,7,7,5,2.67,2.0,0.0,4.0,0.0,0.0,0.0,8.5,4.0,6.0,6.0,5.0,4.0,0.0,4.0,0.0,8.89,3.5,3.67,5.0,12.5,9.0,0.0,24.300000000000004,11.4,8.0,0.0,22.200000000000003,2.15,2.0,0.0,4.200000000000003,5.7,5.0,0.0,8.300000000000004,3.3615000000000004,3.835,0.0,6.2500000000000036
rzsm>0.8_pr>50,ssp245,2025,2,7,0,14,0,10,0,5,1,19,10,2,7,4,0,13,78,0,37,5,2,6,0,14,0,9,0,4,0,18,10,0,7,2,0,13,77,0,35,5,1,1,0,2,0,2,0,1,0,3,2,0,2,1,0,3,5,0,8,2,2,6,0,8,0,6,0,4,0,10,6,0,4,2,0,7,25,0,7,3,2.0,6.0,0.0,7.0,0.0,4.5,0.0,4.0,0.0,6.0,5.0,0.0,3.5,2.0,0.0,4.33,15.4,0.0,4.38,2.5,10.7,5.0,0.0,20.800000000000026,10.1,4.5,0.0,19.700000000000024,1.65,1.0,0.0,3.200000000000003,4.5,3.5,0.0,8.200000000000003,3.3305,3.0,0.0,6.100000000000001
rzsm>0.8_pr>50,ssp245,2026,25,4,10,8,0,14,5,4,8,5,4,9,16,11,10,5,184,5,12,5,24,4,9,8,0,14,5,4,8,4,3,8,14,11,10,5,183,5,12,5,5,2,2,3,0,3,1,1,2,1,1,2,2,2,2,1,3,1,3,1,7,2,5,3,0,8,5,4,6,4,3,6,8,7,7,5,145,5,5,5,4.8,2.0,4.5,2.67,0.0,4.67,5.0,4.0,4.0,4.0,3.0,4.0,7.0,5.5,5.0,5.0,61.0,5.0,4.0,5.0,17.2,8.0,4.0,16.900000000000013,16.8,8.0,3.9000000000000004,15.000000000000014,1.9,2.0,1.0,3.0,12.0,5.0,2.9000000000000004,8.0,7.007,4.585,2.603,5.650000000000002
rzsm>0.8_pr>50,ssp245,2027,32,16,15,15,2,5,0,2,9,10,13,0,5,0,2,11,139,6,3,6,26,15,15,13,2,5,0,2,9,10,13,0,4,0,0,8,138,6,3,5,5,3,4,2,1,1,0,1,2,3,2,0,1,0,0,3,10,2,1,1,10,5,7,7,2,5,0,2,5,5,8,0,4,0,0,4,55,3,3,5,5.2,5.0,3.75,6.5,2.0,5.0,0.0,2.0,4.5,3.33,6.5,0.0,4.0,0.0,0.0,2.67,13.8,3.0,3.0,5.0,14.55,6.0,0.0,17.600000000000023,13.7,5.5,0.0,16.100000000000016,2.1,1.5,0.0,4.100000000000001,6.5,4.5,0.0,8.200000000000003,3.7625,3.54,0.0,6.5
rzsm>0.8_pr>50,ssp245,2028,17,12,31,5,0,14,0,10,18,2,6,0,16,5,1,13,78,7,2,6,16,12,29,5,0,14,0,7,18,2,4,0,16,5,0,10,78,5,0,6,3,2,6,1,0,2,0,2,4,1,1,0,4,1,0,3,8,1,0,1,7,7,13,5,0,12,0,5,6,2,4,0,8,5,0,5,45,5,0,6,5.33,6.0,4.83,5.0,0.0,7.0,0.0,3.5,4.5,2.0,4.0,0.0,4.0,5.0,0.0,3.33,9.75,5.0,0.0,6.0,12.15,6.5,0.0,19.30000000000002,11.35,5.5,0.0,19.100000000000016,2.0,1.0,0.0,4.200000000000003,6.75,5.0,0.0,12.100000000000001,3.7619999999999996,4.25,0.0,6.100000000000001
rzsm>0.8_pr>50,ssp245,2029,10,4,0,7,0,14,0,4,4,6,9,16,17,15,4,0,43,14,10,16,9,4,0,5,0,13,0,3,2,6,9,15,17,15,4,0,43,14,10,14,3,2,0,1,0,2,0,1,1,1,2,2,4,2,1,0,4,3,2,2,3,2,0,5,0,11,0,3,2,6,7,10,6,9,4,0,23,6,6,8,3.0,2.0,0.0,5.0,0.0,6.5,0.0,3.0,2.0,6.0,4.5,7.5,4.25,7.5,4.0,0.0,10.75,4.67,5.0,7.0,9.65,8.0,0.0,16.1,9.15,7.5,0.0,15.200000000000003,1.65,2.0,0.0,3.1000000000000014,5.55,5.5,0.0,10.100000000000001,4.1335,4.375,0.0,7.5
rzsm>0.8_pr>50,ssp245,2030,5,4,4,23,10,25,18,9,10,19,4,6,0,13,5,0,0,14,7,19,4,4,4,21,10,24,18,9,10,19,4,6,0,13,5,0,0,11,6,16,2,2,1,5,2,5,4,2,2,4,1,2,0,6,1,0,0,3,2,3,2,2,4,9,6,8,7,6,7,8,4,4,0,3,5,0,0,6,3,7,2.0,2.0,4.0,4.2,5.0,4.8,4.5,4.5,5.0,4.75,4.0,3.0,0.0,2.17,5.0,0.0,0.0,3.67,3.0,5.33,9.75,8.0,0.0,19.400000000000006,9.2,7.5,0.0,19.200000000000003,2.35,2.0,0.0,5.0,4.55,4.5,0.0,8.0,3.346,4.0,0.0,5.0
rzsm>0.8_pr>50,ssp245,2031,15,24,3,11,0,5,15,13,7,16,2,2,0,0,2,3,127,13,0,11,15,22,3,11,0,3,15,12,6,14,2,2,0,0,2,3,126,13,0,11,3,4,1,3,0,1,3,3,1,4,1,1,0,0,1,1,6,4,0,3,5,7,3,5,0,3,6,7,6,7,2,2,0,0,2,3,78,7,0,5,5.0,5.5,3.0,3.67,0.0,3.0,5.0,4.0,6.0,3.5,2.0,2.0,0.0,0.0,2.0,3.0,21.0,3.25,0.0,3.67,13.45,6.0,0.0,16.80000000000001,13.0,4.5,0.0,15.70000000000001,2.0,1.0,0.0,4.0,7.4,4.0,0.0,7.0,3.7795,3.125,0.0,5.550000000000001
rzsm>0.8_pr>50,ssp245,2032,10,19,11,6,0,8,23,6,6,14,19,0,3,7,0,9,82,9,10,23,9,19,10,3,0,8,23,5,5,13,17,0,2,6,0,7,82,9,10,23,2,5,2,1,0,2,4,2,2,2,5,0,1,1,0,1,6,3,3,5,6,5,5,3,0,5,7,3,3,7,6,0,2,6,0,7,41,4,5,7,4.5,3.8,5.0,3.0,0.0,4.0,5.75,2.5,2.5,6.5,3.4,0.0,2.0,6.0,0.0,7.0,13.67,3.0,3.33,4.6,13.25,9.0,0.0,23.0,12.55,8.5,0.0,23.0,2.35,2.0,0.0,5.0,6.1,5.0,0.0,7.0,4.027499999999999,3.5999999999999996,0.0,6.550000000000001
rzsm>0.8_pr>50,ssp245,2033,11,10,9,18,0,1,19,19,1,10,30,20,12,11,9,0,281,5,19,6,11,9,9,18,0,0,18,19,0,10,29,18,12,11,9,0,281,5,18,6,2,3,2,4,0,0,4,4,0,2,6,4,4,2,2,0,5,1,3,1,6,4,5,8,0,0,8,7,0,6,9,7,5,7,5,0,187,5,8,6,5.5,3.0,4.5,4.5,0.0,0.0,4.5,4.75,0.0,5.0,4.83,4.5,3.0,5.5,4.5,0.0,56.2,5.0,6.0,6.0,24.55,10.5,0.9000000000000001,21.000000000000014,24.15,10.5,0.0,20.000000000000014,2.45,2.0,0.0,4.100000000000001,14.15,6.0,0.0,8.100000000000001,6.364,4.5,0.0,6.0
rzsm>0.8_pr>50,ssp245,2034,24,9,28,22,0,9,4,9,5,0,3,6,0,9,13,10,23,11,16,11,22,6,24,22,0,8,4,9,3,0,3,5,0,9,11,10,23,9,16,11,5,1,6,4,0,3,1,2,1,0,1,1,0,4,4,2,4,3,3,2,7,6,6,8,0,4,4,7,3,0,3,5,0,3,4,7,12,5,6,6,4.4,6.0,4.0,5.5,0.0,2.67,4.0,4.5,3.0,0.0,3.0,5.0,0.0,2.25,2.75,5.0,5.75,3.0,5.33,5.5,10.6,9.0,0.0,23.1,9.75,9.0,0.0,22.1,2.35,2.0,0.0,4.100000000000001,4.8,5.0,0.0,7.100000000000001,3.5825000000000005,4.0,0.0,5.525
rzsm>0.8_pr>50,ssp245,2035,1,7,4,11,0,8,0,4,19,14,11,0,1,9,0,26,77,0,10,22,0,6,4,10,0,8,0,4,19,12,11,0,0,7,0,24,77,0,8,20,0,2,1,2,0,2,0,1,4,4,3,0,0,2,0,3,4,0,2,3,0,4,4,8,0,5,0,4,5,5,7,0,0,5,0,11,62,0,5,9,0.0,3.0,4.0,5.0,0.0,4.0,0.0,4.0,4.75,3.0,3.67,0.0,0.0,3.5,0.0,8.0,19.25,0.0,4.0,6.67,11.2,7.5,0.0,22.400000000000006,10.5,6.5,0.0,20.400000000000006,1.65,2.0,0.0,4.0,6.7,4.5,0.0,9.200000000000003,3.6420000000000003,3.585,0.0,6.803000000000002
rzsm>0.8_pr>50,ssp245,2036,11,16,0,10,0,34,19,2,7,4,21,18,0,22,4,25,108,14,20,8,11,15,0,10,0,33,18,2,5,4,20,18,0,22,4,22,107,14,19,7,4,4,0,2,0,6,5,1,1,1,3,4,0,5,1,6,6,3,5,1,4,7,0,7,0,10,5,2,5,4,7,7,0,6,4,6,46,6,7,7,2.75,3.75,0.0,5.0,0.0,5.5,3.6,2.0,5.0,4.0,6.67,4.5,0.0,4.4,4.0,3.67,17.83,4.67,3.8,7.0,17.15,12.5,0.0,25.900000000000013,16.55,12.5,0.0,23.100000000000016,2.9,3.0,0.0,6.0,7.0,6.0,0.0,7.300000000000004,4.407,4.0,0.0,6.703
rzsm>0.8_pr>50,ssp245,2037,14,21,3,2,0,15,17,8,7,12,29,10,1,17,5,0,95,3,6,38,14,20,3,2,0,14,16,6,7,12,29,8,0,15,4,0,95,3,5,38,3,3,1,1,0,3,5,1,1,4,4,2,0,3,1,0,7,1,1,7,6,10,3,2,0,6,5,6,7,5,12,6,0,7,4,0,34,3,5,9,4.67,6.67,3.0,2.0,0.0,4.67,3.2,6.0,7.0,3.0,7.25,4.0,0.0,5.0,4.0,0.0,13.57,3.0,5.0,5.43,15.15,9.0,0.9000000000000001,29.900000000000013,14.55,7.5,0.0,29.900000000000013,2.4,1.5,0.0,5.200000000000003,6.5,5.5,0.0,10.200000000000003,4.373,4.335,0.0,7.025
rzsm>0.8_pr>50,ssp245,2038,9,11,2,12,0,13,21,4,10,6,2,17,9,17,5,5,169,16,11,0,7,11,2,12,0,13,19,4,9,6,2,16,7,17,5,5,169,16,10,0,1,3,1,3,0,2,5,1,2,2,1,4,2,3,1,1,3,4,3,0,7,5,2,4,0,7,7,4,5,4,2,5,5,6,5,5,128,6,5,0,7.0,3.67,2.0,4.0,0.0,6.5,3.8,4.0,4.5,3.0,2.0,4.0,3.5,5.67,5.0,5.0,56.33,4.0,3.33,0.0,16.95,9.5,1.8000000000000003,17.400000000000006,16.5,8.0,1.8000000000000003,17.200000000000003,2.1,2.0,0.9000000000000001,4.0,10.6,5.0,1.8000000000000003,7.0,6.365,4.0,1.8000000000000003,6.550000000000001
rzsm>0.8_pr>50,ssp245,2039,4,8,4,31,0,12,13,13,22,7,22,5,6,19,6,0,71,8,1,18,2,8,4,28,0,11,10,10,22,6,21,5,6,18,6,0,71,6,0,18,1,1,1,6,0,3,3,3,6,2,4,1,1,6,3,0,9,1,0,3,2,8,4,7,0,4,6,4,6,4,7,5,6,5,2,0,17,6,0,8,2.0,8.0,4.0,4.67,0.0,3.67,3.33,3.33,3.67,3.0,5.25,5.0,6.0,3.0,2.0,0.0,7.89,6.0,0.0,6.0,13.5,8.0,0.9000000000000001,22.900000000000013,12.6,7.0,0.0,22.60000000000001,2.7,2.5,0.0,6.0,5.05,5.0,0.0,8.0,3.8405,3.67,0.0,6.189000000000003
rzsm>0.8_pr>50,ssp245,2040,7,29,11,5,0,0,49,0,19,14,0,23,0,18,3,16,90,10,15,18,6,28,11,5,0,0,45,0,17,14,0,21,0,18,2,15,89,10,15,18,1,5,2,1,0,0,9,0,3,3,0,5,0,3,1,3,6,3,2,3,6,8,6,5,0,0,11,0,6,7,0,10,0,6,2,7,46,6,10,7,6.0,5.6,5.5,5.0,0.0,0.0,5.0,0.0,5.67,4.67,0.0,4.2,0.0,6.0,2.0,5.0,14.83,3.33,7.5,6.0,16.35,12.5,0.0,31.00000000000003,15.7,12.5,0.0,29.700000000000024,2.5,2.5,0.0,5.100000000000001,7.15,6.0,0.0,10.100000000000001,4.315,5.0,0.0,6.150000000000002
rzsm>0.8_pr>50,ssp245,2041,0,0,9,5,0,0,0,7,0,16,15,2,6,27,12,9,80,0,0,5,0,0,8,5,0,0,0,7,0,15,14,2,6,26,11,6,79,0,0,5,0,0,2,1,0,0,0,2,0,4,3,1,1,5,2,2,5,0,0,2,0,0,5,5,0,0,0,4,0,6,7,2,6,7,7,4,36,0,0,3,0.0,0.0,4.0,5.0,0.0,0.0,0.0,3.5,0.0,3.75,4.67,2.0,6.0,5.2,5.5,3.0,15.8,0.0,0.0,2.5,9.65,5.0,0.0,17.100000000000016,9.2,5.0,0.0,16.100000000000016,1.5,1.0,0.0,4.100000000000001,4.6,3.5,0.0,7.0,3.0460000000000003,2.75,0.0,5.550000000000001
rzsm>0.8_pr>50,ssp245,2042,14,13,4,12,5,9,4,10,0,11,16,0,14,17,6,26,218,17,13,9,13,12,3,12,5,9,2,10,0,10,15,0,13,16,6,25,218,15,13,9,4,3,1,3,1,2,1,2,0,3,6,0,4,6,2,7,4,3,3,2,6,6,3,8,5,5,2,5,0,4,4,0,6,5,4,7,198,7,5,7,3.25,4.0,3.0,4.0,5.0,4.5,2.0,5.0,0.0,3.33,2.5,0.0,3.25,2.67,3.0,3.57,54.5,5.0,4.33,4.5,20.9,11.5,3.6000000000000005,17.900000000000013,20.3,11.0,1.8000000000000003,16.900000000000013,2.85,3.0,0.9000000000000001,6.0,14.35,5.0,1.8000000000000003,7.100000000000001,5.869999999999999,3.45,1.8000000000000003,5.0
rzsm>0.8_pr>50,ssp245,2043,34,28,0,14,0,12,24,6,20,15,9,7,6,11,5,21,58,7,16,4,31,25,0,13,0,12,22,5,18,13,8,7,6,10,5,19,56,5,14,4,7,6,0,2,0,2,5,2,4,4,2,2,2,2,1,3,3,1,3,1,7,7,0,8,0,6,6,3,7,5,5,4,3,6,5,10,31,5,7,4,4.43,4.17,0.0,6.5,0.0,6.0,4.4,2.5,4.5,3.25,4.0,3.5,3.0,5.0,5.0,6.33,18.67,5.0,4.67,4.0,14.85,11.5,3.6000000000000005,28.60000000000001,13.65,11.0,3.6000000000000005,25.60000000000001,2.6,2.0,0.9000000000000001,5.100000000000001,6.45,5.5,2.7,8.200000000000003,4.746,4.415,2.2500000000000004,6.347
rzsm>0.8_pr>50,ssp245,2044,7,14,16,13,0,0,1,0,19,16,0,33,13,14,13,24,242,15,0,0,6,13,16,11,0,0,0,0,16,15,0,32,12,13,13,24,242,14,0,0,2,2,4,3,0,0,0,0,3,3,0,7,3,2,2,5,9,4,0,0,4,8,5,6,0,0,0,0,7,7,0,7,6,7,7,8,76,4,0,0,3.0,6.5,4.0,3.67,0.0,0.0,0.0,0.0,5.33,5.0,0.0,4.57,4.0,6.5,6.5,4.8,26.89,3.5,0.0,0.0,22.0,13.0,0.0,24.900000000000013,21.35,12.5,0.0,24.80000000000001,2.45,2.0,0.0,5.200000000000003,7.6,5.5,0.0,8.0,4.212999999999999,3.835,0.0,6.5
rzsm>0.8_pr>50,ssp245,2045,8,1,33,6,0,18,27,24,5,38,0,10,1,17,8,4,236,8,9,22,6,0,33,5,0,17,23,24,5,35,0,8,0,15,7,3,236,8,7,21,1,0,5,2,0,3,6,6,2,8,0,2,0,3,2,1,2,2,1,4,6,0,9,3,0,8,7,6,3,8,0,6,0,5,5,3,211,6,7,7,6.0,0.0,6.6,2.5,0.0,5.67,3.83,4.0,2.5,4.38,0.0,4.0,0.0,5.0,3.5,3.0,118.0,4.0,7.0,5.25,23.75,8.5,0.9000000000000001,33.50000000000001,22.65,7.5,0.0,33.2,2.5,2.0,0.0,6.0,15.0,6.0,0.0,8.100000000000001,9.261500000000002,4.0,0.0,6.640000000000001
rzsm>0.8_pr>50,ssp245,2046,18,0,22,0,0,29,0,20,1,20,13,8,9,36,0,6,129,17,9,44,18,0,21,0,0,29,0,20,0,18,11,8,8,36,0,5,129,15,9,44,3,0,6,0,0,6,0,4,0,7,2,3,2,6,0,1,6,3,2,8,8,0,6,0,0,6,0,10,0,4,6,4,5,8,0,5,43,7,5,7,6.0,0.0,3.5,0.0,0.0,4.83,0.0,5.0,0.0,2.57,5.5,2.67,4.0,6.0,0.0,5.0,21.5,5.0,4.5,5.5,19.05,11.0,0.0,36.80000000000001,18.55,10.0,0.0,36.80000000000001,2.95,2.5,0.0,6.100000000000001,6.2,5.0,0.0,8.200000000000003,4.0785,4.25,0.0,6.0
rzsm>0.8_pr>50,ssp245,2047,2,23,25,20,0,8,10,13,1,12,13,2,6,12,4,4,33,26,11,12,0,23,22,20,0,6,10,12,0,12,10,0,4,10,4,2,32,25,10,11,0,6,7,4,0,1,2,4,0,3,2,0,2,3,1,1,3,5,2,3,0,7,6,10,0,6,5,5,0,6,8,0,2,4,4,2,20,7,7,7,0.0,3.83,3.14,5.0,0.0,6.0,5.0,3.0,0.0,4.0,5.0,0.0,2.0,3.33,4.0,2.0,10.67,5.0,5.0,3.67,11.85,11.5,1.9000000000000001,25.1,10.65,10.0,0.0,23.200000000000003,2.45,2.0,0.0,5.100000000000001,5.3,5.5,0.0,8.200000000000003,3.532,3.75,0.0,5.100000000000001
rzsm>0.8_pr>50,ssp245,2048,19,16,17,0,11,17,27,10,0,2,2,9,5,28,10,7,75,11,11,8,19,14,17,0,11,16,27,10,0,2,0,9,4,27,10,5,75,10,11,7,3,2,3,0,2,5,4,3,0,1,0,2,2,4,3,1,4,3,3,1,7,9,6,0,9,6,17,6,0,2,0,6,2,9,5,5,34,6,7,7,6.33,7.0,5.67,0.0,5.5,3.2,6.75,3.33,0.0,2.0,0.0,4.5,2.0,6.75,3.33,5.0,18.75,3.33,3.67,7.0,14.25,10.5,1.8000000000000003,27.1,13.7,10.0,0.0,27.0,2.3,2.5,0.0,4.0,7.15,6.0,0.0,9.800000000000011,4.7055,4.085,0.0,7.0
rzsm>0.8_pr>50,ssp245,2049,15,11,24,15,1,0,14,15,6,12,0,27,16,10,10,15,144,21,10,6,15,11,20,15,0,0,12,14,6,10,0,26,16,7,8,14,144,18,10,5,3,3,5,3,0,0,1,3,1,4,0,4,5,3,2,4,4,4,2,1,7,7,7,6,0,0,12,6,6,4,0,7,5,3,6,5,94,7,6,5,5.0,3.67,4.0,5.0,0.0,0.0,12.0,4.67,6.0,2.5,0.0,6.5,3.2,2.33,4.0,3.5,36.0,4.5,5.0,5.0,18.6,13.0,0.9000000000000001,24.300000000000004,17.55,11.5,0.0,20.60000000000001,2.6,3.0,0.0,4.100000000000001,9.65,6.0,0.0,7.500000000000007,5.6435,4.25,0.0,7.050000000000008
rzsm>0.8_pr>50,ssp245,2050,14,15,16,17,0,12,0,2,16,19,10,0,7,19,0,5,41,7,1,10,14,13,14,15,0,12,0,2,16,17,8,0,7,19,0,4,41,6,0,10,3,2,4,3,0,3,0,1,4,4,2,0,1,4,0,2,2,1,0,2,5,8,7,7,0,5,0,2,5,7,4,0,7,7,0,2,35,6,0,8,4.67,6.5,3.5,5.0,0.0,4.0,0.0,2.0,4.0,4.25,4.0,0.0,7.0,4.75,0.0,2.0,20.5,6.0,0.0,5.0,10.55,10.0,0.0,19.0,9.9,9.0,0.0,17.200000000000003,1.9,2.0,0.0,4.0,5.75,5.0,0.0,8.0,4.1585,4.0,0.0,6.550000000000001
rzsm>0.8_pr>50,ssp245,2051,16,19,16,21,8,8,0,0,14,22,12,8,6,6,2,0,5,9,4,4,14,19,16,21,6,6,0,0,12,22,8,7,6,6,0,0,5,9,4,4,3,5,4,4,1,3,0,0,3,4,3,3,1,2,0,0,1,3,1,1,7,5,7,11,6,2,0,0,7,8,4,3,6,4,0,0,5,5,4,4,4.67,3.8,4.0,5.25,6.0,2.0,0.0,0.0,4.0,5.5,2.67,2.33,6.0,3.0,0.0,0.0,5.0,3.0,4.0,4.0,9.0,8.0,0.0,19.200000000000003,8.25,6.0,0.0,19.200000000000003,2.1,2.5,0.0,4.0,4.4,4.5,0.0,7.100000000000001,3.261,3.9,0.0,5.550000000000001
rzsm>0.8_pr>50,ssp245,2052,18,8,17,15,0,0,5,12,21,19,7,1,4,14,6,8,66,15,13,33,16,8,16,15,0,0,5,11,18,18,7,0,3,14,6,8,66,15,12,31,5,2,3,3,0,0,2,2,4,5,2,0,1,3,1,2,3,3,3,6,6,5,7,7,0,0,3,6,7,6,5,0,3,8,6,6,54,7,7,14,3.2,4.0,5.33,5.0,0.0,0.0,2.5,5.5,4.5,3.6,3.5,0.0,3.0,4.67,6.0,4.0,22.0,5.0,4.0,5.17,14.1,12.5,0.9000000000000001,22.200000000000017,13.45,11.5,0.0,19.30000000000002,2.5,2.5,0.0,5.0,7.85,6.0,0.0,8.600000000000009,4.548500000000001,4.0,0.0,5.550000000000001
rzsm>0.8_pr>50,ssp245,2053,23,23,18,17,0,6,8,26,2,29,18,5,7,19,0,15,45,4,20,22,23,21,14,17,0,5,7,25,2,29,14,5,7,16,0,15,44,4,19,20,5,3,5,4,0,1,2,4,1,6,3,1,1,3,0,6,7,2,4,4,8,13,4,6,0,5,5,13,2,10,7,5,7,6,0,4,10,2,7,7,4.6,7.0,2.8,4.25,0.0,5.0,3.5,6.25,2.0,4.83,4.67,5.0,7.0,5.33,0.0,2.5,6.29,2.0,4.75,5.0,15.35,17.5,1.8000000000000003,26.300000000000004,14.35,14.5,1.8000000000000003,25.400000000000006,3.1,3.0,0.9000000000000001,6.0,6.05,6.0,1.8000000000000003,10.300000000000004,4.1385,4.71,1.8000000000000003,6.361000000000001
rzsm>0.8_pr>50,ssp245,2054,19,0,10,31,0,20,3,3,5,6,0,11,21,21,8,4,13,22,8,10,16,0,10,29,0,19,3,3,5,5,0,9,18,21,7,4,12,22,8,7,3,0,2,5,0,3,1,1,1,2,0,3,7,6,3,1,3,5,2,3,7,0,6,11,0,7,3,3,5,3,0,5,5,6,3,4,6,7,5,3,5.33,0.0,5.0,5.8,0.0,6.33,3.0,3.0,5.0,2.5,0.0,3.0,2.57,3.5,2.33,4.0,4.0,4.4,4.0,2.33,10.75,9.0,0.0,21.1,9.9,7.5,0.0,21.1,2.55,2.5,0.0,5.100000000000001,4.45,5.0,0.0,7.0,3.3045,3.25,0.0,5.377000000000001
rzsm>0.8_pr>50,ssp245,2055,9,7,10,17,0,6,12,7,2,27,1,27,19,0,28,4,165,7,22,30,6,7,10,17,0,5,9,7,2,27,0,24,15,0,27,4,164,7,22,29,2,3,2,3,0,1,2,1,1,5,0,5,4,0,5,1,8,2,4,6,4,3,5,6,0,5,5,7,2,7,0,7,7,0,8,4,52,5,10,7,3.0,2.33,5.0,5.67,0.0,5.0,4.5,7.0,2.0,5.4,0.0,4.8,3.75,0.0,5.4,4.0,20.5,3.5,5.5,4.83,20.0,9.5,0.9000000000000001,28.200000000000003,19.1,8.0,0.0,27.200000000000003,2.75,2.0,0.0,5.100000000000001,7.2,5.0,0.0,8.200000000000003,4.609,4.65,0.0,5.803000000000002
rzsm>0.8_pr>50,ssp245,2056,25,1,18,12,3,0,7,12,4,11,13,3,37,8,13,7,269,12,14,47,24,0,18,12,3,0,7,11,4,11,13,2,34,7,10,7,269,12,12,45,5,0,5,2,1,0,2,3,1,3,2,1,10,2,2,1,7,3,2,10,7,0,7,7,3,0,5,5,4,6,7,2,5,5,7,7,89,8,9,13,4.8,0.0,3.6,6.0,3.0,0.0,3.5,3.67,4.0,3.67,6.5,2.0,3.4,3.5,5.0,7.0,38.43,4.0,6.0,4.5,25.8,12.0,2.8000000000000003,38.000000000000014,25.05,11.0,1.8000000000000003,35.100000000000016,3.1,2.0,0.9000000000000001,7.300000000000004,9.8,6.5,1.8000000000000003,9.400000000000006,5.6285,3.835,1.8000000000000003,6.550000000000001
