threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2025,0,0,2,0,1,1,0,0,0,4,0,0,0,5,11,0,83,12,5,3,0,0,2,0,0,0,0,0,0,4,0,0,0,5,11,0,82,10,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,3,1,1,1,0,0,2,0,0,0,0,0,0,4,0,0,0,5,7,0,71,10,5,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.5,0.0,27.33,10.0,5.0,3.0,6.35,0.5,0.0,11.100000000000001,6.1,0.0,0.0,10.100000000000001,0.55,0.0,0.0,1.1000000000000014,5.35,0.0,0.0,7.300000000000004,3.0915,0.0,0.0,5.950000000000006
rzsm>0.7_pr>50,ssp245,2026,0,0,0,0,3,6,0,0,0,4,5,0,18,0,0,5,182,0,0,5,0,0,0,0,3,6,0,0,0,4,5,0,18,0,0,5,182,0,0,5,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,1,3,0,0,1,0,0,0,0,3,6,0,0,0,4,5,0,13,0,0,5,108,0,0,5,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,5.0,60.67,0.0,0.0,5.0,11.4,0.0,0.0,7.200000000000017,11.4,0.0,0.0,7.200000000000017,0.55,0.0,0.0,1.1000000000000014,7.45,0.0,0.0,6.70000000000001,4.8835,0.0,0.0,6.300000000000004
rzsm>0.7_pr>50,ssp245,2027,0,0,0,0,4,0,0,1,0,0,0,12,0,0,9,0,55,0,0,6,0,0,0,0,4,0,0,0,0,0,0,12,0,0,9,0,55,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,5,0,0,1,0,0,0,0,4,0,0,0,0,0,0,5,0,0,7,0,20,0,0,6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.5,0.0,11.0,0.0,0.0,6.0,4.35,0.0,0.0,9.300000000000004,4.3,0.0,0.0,9.300000000000004,0.6,0.0,0.0,2.1000000000000014,2.1,0.0,0.0,6.100000000000001,1.475,0.0,0.0,4.650000000000002
rzsm>0.7_pr>50,ssp245,2028,7,0,0,3,0,7,5,0,0,0,0,20,7,0,0,0,170,0,5,0,7,0,0,3,0,6,5,0,0,0,0,20,6,0,0,0,170,0,5,0,1,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,4,0,1,0,7,0,0,3,0,6,5,0,0,0,0,11,6,0,0,0,81,0,5,0,7.0,0.0,0.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,42.5,0.0,5.0,0.0,11.2,0.0,0.0,8.300000000000018,11.1,0.0,0.0,8.300000000000018,0.6,0.0,0.0,1.1000000000000014,6.2,0.0,0.0,7.400000000000006,4.225,0.0,0.0,7.300000000000004
rzsm>0.7_pr>50,ssp245,2029,0,4,0,0,0,0,0,0,7,2,0,0,21,3,13,0,64,0,0,0,0,4,0,0,0,0,0,0,7,2,0,0,21,3,13,0,63,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,4,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,8,3,7,0,63,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0.0,0.0,5.25,3.0,6.5,0.0,63.0,0.0,0.0,0.0,5.7,0.0,0.0,13.800000000000011,5.65,0.0,0.0,13.800000000000011,0.6,0.0,0.0,2.0,4.55,0.0,0.0,7.100000000000001,4.3625,0.0,0.0,5.375000000000002
rzsm>0.7_pr>50,ssp245,2030,8,0,1,0,0,0,5,0,0,0,0,0,2,5,6,4,89,1,8,0,8,0,0,0,0,0,5,0,0,0,0,0,2,5,6,4,88,0,8,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,7,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,2,5,6,4,51,0,8,0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,4.0,12.57,0.0,8.0,0.0,6.45,0.5,0.0,8.0,6.3,0.0,0.0,8.0,0.75,0.0,0.0,1.1000000000000014,4.3,0.0,0.0,6.200000000000003,2.3285,0.0,0.0,6.200000000000003
rzsm>0.7_pr>50,ssp245,2031,10,2,0,0,0,0,0,3,0,0,0,9,0,0,14,0,75,0,0,7,10,2,0,0,0,0,0,3,0,0,0,9,0,0,14,0,75,0,0,7,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,10,2,0,0,0,0,0,3,0,0,0,9,0,0,8,0,75,0,0,7,10.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,75.0,0.0,0.0,7.0,6.0,0.0,0.0,10.400000000000006,6.0,0.0,0.0,10.400000000000006,0.4,0.0,0.0,1.0,5.7,0.0,0.0,9.100000000000001,5.65,0.0,0.0,9.100000000000001
rzsm>0.7_pr>50,ssp245,2032,0,4,0,10,0,0,0,0,0,0,7,7,14,7,0,0,34,7,0,0,0,4,0,10,0,0,0,0,0,0,7,7,14,7,0,0,34,7,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3,2,0,0,1,1,0,0,0,4,0,10,0,0,0,0,0,0,7,4,7,4,0,0,34,7,0,0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,4.67,3.5,0.0,0.0,34.0,7.0,0.0,0.0,4.5,0.0,0.0,10.400000000000006,4.5,0.0,0.0,10.400000000000006,0.6,0.0,0.0,2.0,3.85,0.0,0.0,7.300000000000004,3.6835,0.0,0.0,7.300000000000004
rzsm>0.7_pr>50,ssp245,2033,0,0,0,0,0,2,6,0,0,0,1,2,4,0,12,8,25,4,0,7,0,0,0,0,0,2,6,0,0,0,0,2,3,0,12,7,25,4,0,7,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,1,1,0,2,0,0,0,0,0,2,6,0,0,0,0,2,3,0,7,7,25,4,0,5,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,7.0,25.0,4.0,0.0,3.5,3.55,0.5,0.0,8.400000000000006,3.4,0.0,0.0,7.500000000000007,0.55,0.0,0.0,1.1000000000000014,3.05,0.0,0.0,7.0,2.925,0.0,0.0,6.100000000000001
rzsm>0.7_pr>50,ssp245,2034,5,2,8,0,0,0,3,0,0,6,6,14,0,3,3,0,95,0,12,3,5,2,8,0,0,0,3,0,0,6,6,14,0,3,3,0,95,0,12,2,1,1,2,0,0,0,1,0,0,1,1,2,0,1,1,0,1,0,1,1,5,2,5,0,0,0,3,0,0,6,6,8,0,3,3,0,95,0,12,2,5.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,6.0,7.0,0.0,3.0,3.0,0.0,95.0,0.0,12.0,2.0,8.0,3.0,0.0,12.200000000000003,7.95,2.5,0.0,12.200000000000003,0.7,1.0,0.0,1.1000000000000014,7.5,2.5,0.0,8.400000000000006,7.4,2.5,0.0,7.500000000000007
rzsm>0.7_pr>50,ssp245,2035,0,4,0,0,6,3,0,0,0,0,0,0,7,5,8,3,11,0,12,3,0,4,0,0,6,3,0,0,0,0,0,0,7,5,7,3,11,0,12,2,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,4,0,0,6,3,0,0,0,0,0,0,7,5,4,3,11,0,12,2,0.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.5,3.0,11.0,0.0,12.0,2.0,3.1,1.5,0.0,8.300000000000004,3.0,1.0,0.0,7.400000000000006,0.55,0.5,0.0,1.0,2.85,1.0,0.0,7.400000000000006,2.825,1.0,0.0,7.400000000000006
rzsm>0.7_pr>50,ssp245,2036,14,0,0,0,0,0,0,0,0,7,4,8,14,9,0,8,237,0,1,0,14,0,0,0,0,0,0,0,0,7,4,7,14,9,0,8,237,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,2,0,0,0,14,0,0,0,0,0,0,0,0,4,4,7,12,9,0,5,156,0,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,7.0,7.0,9.0,0.0,4.0,118.5,0.0,0.0,0.0,15.1,0.0,0.0,14.0,15.0,0.0,0.0,14.0,0.6,0.0,0.0,2.0,10.55,0.0,0.0,12.200000000000003,8.35,0.0,0.0,9.500000000000007
rzsm>0.7_pr>50,ssp245,2037,0,4,0,0,0,0,3,0,1,6,8,5,2,0,3,0,97,5,21,3,0,4,0,0,0,0,3,0,0,6,7,5,2,0,3,0,97,5,21,3,0,1,0,0,0,0,1,0,0,2,2,1,1,0,1,0,1,2,2,1,0,4,0,0,0,0,3,0,0,4,4,5,2,0,3,0,97,3,17,3,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.5,5.0,2.0,0.0,3.0,0.0,97.0,2.5,10.5,3.0,7.9,2.5,0.0,9.300000000000018,7.8,2.5,0.0,8.40000000000002,0.75,1.0,0.0,2.0,7.25,2.5,0.0,6.200000000000017,6.825,2.25,0.0,5.550000000000008
rzsm>0.7_pr>50,ssp245,2038,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.85,0.0,0.0,4.0,0.8,0.0,0.0,4.0,0.2,0.0,0.0,1.0,0.8,0.0,0.0,4.0,0.8,0.0,0.0,4.0
rzsm>0.7_pr>50,ssp245,2039,0,2,0,6,5,2,0,1,13,0,0,0,2,7,2,4,45,0,1,0,0,2,0,5,5,2,0,0,13,0,0,0,2,7,2,3,45,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,1,2,1,1,3,0,0,0,0,2,0,5,5,2,0,0,10,0,0,0,2,4,2,3,40,0,0,0,0.0,2.0,0.0,5.0,5.0,2.0,0.0,0.0,6.5,0.0,0.0,0.0,2.0,3.5,2.0,3.0,15.0,0.0,0.0,0.0,4.5,1.5,0.0,7.6000000000000085,4.3,1.0,0.0,7.6000000000000085,0.7,0.5,0.0,2.0,3.75,1.0,0.0,5.500000000000007,2.3,1.0,0.0,5.150000000000002
rzsm>0.7_pr>50,ssp245,2040,0,0,0,0,6,0,6,0,0,0,0,15,0,4,0,0,269,4,4,0,0,0,0,0,6,0,6,0,0,0,0,15,0,4,0,0,269,4,4,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,5,1,1,0,0,0,0,0,6,0,6,0,0,0,0,8,0,4,0,0,147,4,4,0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,53.8,4.0,4.0,0.0,15.4,0.0,0.0,6.900000000000013,15.4,0.0,0.0,6.900000000000013,0.65,0.0,0.0,1.2000000000000028,8.95,0.0,0.0,6.200000000000003,4.14,0.0,0.0,6.0
