threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.8_pr>80,ssp245,2027,11,3,9,6,18,10,16,8,18,0,0,5,10,33,8,1,0,10,0,5,11,3,8,6,18,10,16,8,18,0,0,5,10,33,8,0,0,10,0,5,2,1,2,1,3,2,3,2,1,0,0,1,2,4,1,0,0,3,0,2,6,3,5,6,11,7,6,4,18,0,0,5,5,9,8,0,0,5,0,3,5.5,3.0,4.0,6.0,6.0,5.0,5.33,4.0,18.0,0.0,0.0,5.0,5.0,8.25,8.0,0.0,0.0,3.33,0.0,2.5,8.55,8.0,0.0,18.0,8.45,8.0,0.0,18.0,1.5,1.5,0.0,3.0,5.05,5.0,0.0,9.200000000000003,4.4455,4.5,0.0,8.025
rzsm>0.8_pr>80,ssp245,2028,3,8,19,11,12,0,0,29,10,0,20,11,5,14,0,0,0,17,7,12,3,8,19,11,11,0,0,29,9,0,20,10,4,14,0,0,0,17,7,12,1,2,4,2,3,0,0,3,3,0,3,2,1,1,0,0,0,3,1,2,3,4,7,6,7,0,0,13,5,0,9,6,4,14,0,0,0,10,7,7,3.0,4.0,4.75,5.5,3.67,0.0,0.0,9.67,3.0,0.0,6.67,5.0,4.0,14.0,0.0,0.0,0.0,5.67,7.0,6.0,8.9,9.0,0.0,19.1,8.7,8.5,0.0,19.1,1.55,1.5,0.0,3.0,5.1,5.5,0.0,10.300000000000004,4.096500000000001,4.0,0.0,7.267000000000004
rzsm>0.8_pr>80,ssp245,2029,0,10,13,0,0,0,4,13,2,22,23,20,16,15,13,0,16,5,7,21,0,10,13,0,0,0,4,13,2,22,21,20,12,15,11,0,15,5,7,20,0,2,3,0,0,0,1,3,1,4,4,3,2,4,2,0,3,2,1,2,0,6,5,0,0,0,4,5,2,11,6,8,6,5,6,0,8,3,7,17,0.0,5.0,4.33,0.0,0.0,0.0,4.0,4.33,2.0,5.5,5.25,6.67,6.0,3.75,5.5,0.0,5.0,2.5,7.0,10.0,10.0,11.5,0.0,21.1,9.5,10.5,0.0,20.1,1.85,2.0,0.0,4.0,4.95,5.0,0.0,8.300000000000004,3.8415,4.33,0.0,6.703
rzsm>0.8_pr>80,ssp245,2030,19,0,21,0,0,17,0,6,4,11,18,7,20,18,5,5,207,5,8,17,19,0,20,0,0,17,0,6,4,9,18,7,19,18,5,5,206,5,8,17,5,0,3,0,0,4,0,1,1,3,3,1,4,4,2,2,6,1,1,3,6,0,9,0,0,7,0,6,4,4,8,7,6,9,3,3,87,5,8,6,3.8,0.0,6.67,0.0,0.0,4.25,0.0,6.0,4.0,3.0,6.0,7.0,4.75,4.5,2.5,2.5,34.33,5.0,8.0,5.67,19.4,7.5,0.0,20.1,19.15,7.5,0.0,19.1,2.2,2.0,0.0,4.100000000000001,8.9,6.0,0.0,9.0,5.3985,4.375,0.0,7.100000000000001
rzsm>0.8_pr>80,ssp245,2031,4,3,26,0,18,14,34,18,7,7,0,0,13,0,5,0,77,18,15,0,4,3,26,0,18,14,34,18,7,7,0,0,13,0,4,0,76,18,15,0,1,1,5,0,4,3,5,2,2,1,0,0,3,0,1,0,8,2,2,0,4,3,7,0,7,5,11,12,5,7,0,0,6,0,4,0,17,12,11,0,4.0,3.0,5.2,0.0,4.5,4.67,6.8,9.0,3.5,7.0,0.0,0.0,4.33,0.0,4.0,0.0,9.5,9.0,7.5,0.0,12.95,7.0,0.0,26.80000000000001,12.85,7.0,0.0,26.80000000000001,2.0,1.5,0.0,5.0,5.55,5.0,0.0,12.0,4.1,4.165,0.0,9.0
rzsm>0.8_pr>80,ssp245,2032,0,12,17,33,0,13,7,15,13,14,19,7,16,2,12,14,70,5,7,0,0,11,16,32,0,12,6,15,12,14,19,7,16,2,12,14,70,5,7,0,0,2,4,6,0,3,2,3,2,3,4,3,3,1,3,3,2,1,1,0,0,6,6,10,0,6,4,5,7,6,9,3,6,2,5,6,35,5,7,0,0.0,5.5,4.0,5.33,0.0,4.0,3.0,5.0,6.0,4.67,4.75,2.33,5.33,2.0,4.0,4.67,35.0,5.0,7.0,0.0,13.8,12.5,0.0,20.40000000000002,13.5,12.0,0.0,20.30000000000002,2.3,2.5,0.0,4.0,6.4,6.0,0.0,9.100000000000001,5.379,4.67,0.0,6.100000000000001
rzsm>0.8_pr>80,ssp245,2033,0,11,17,18,0,9,15,28,4,4,12,2,10,32,0,0,36,34,2,8,0,11,17,18,0,9,15,28,3,3,12,2,10,32,0,0,36,34,2,8,0,3,4,4,0,3,2,5,1,1,2,1,2,5,0,0,4,3,1,2,0,4,6,5,0,5,8,7,3,3,6,2,6,11,0,0,22,21,2,6,0.0,3.67,4.25,4.5,0.0,3.0,7.5,5.6,3.0,3.0,6.0,2.0,5.0,6.4,0.0,0.0,9.0,11.33,2.0,4.0,12.1,9.5,0.0,32.2,12.0,9.5,0.0,32.2,2.15,2.0,0.0,4.100000000000001,5.85,5.0,0.0,12.000000000000014,4.0125,3.835,0.0,7.650000000000002
rzsm>0.8_pr>80,ssp245,2034,8,0,10,12,0,19,29,11,6,8,0,29,18,10,2,0,108,0,2,0,6,0,10,11,0,19,29,11,6,8,0,25,18,10,2,0,108,0,0,0,2,0,3,3,0,4,5,4,1,2,0,5,3,2,1,0,5,0,0,0,4,0,4,5,0,10,8,4,6,4,0,8,11,6,2,0,85,0,0,0,3.0,0.0,3.33,3.67,0.0,4.75,5.8,2.75,6.0,4.0,0.0,5.0,6.0,5.0,2.0,0.0,21.6,0.0,0.0,0.0,13.6,8.0,0.0,29.0,13.15,7.0,0.0,25.400000000000006,2.0,2.0,0.0,5.0,7.85,4.0,0.0,10.100000000000001,3.6450000000000005,3.165,0.0,6.0
rzsm>0.8_pr>80,ssp245,2035,23,23,21,0,0,8,27,26,49,30,9,17,11,7,13,6,4,14,24,11,22,23,21,0,0,8,25,26,49,29,9,17,10,7,12,5,3,12,23,11,4,5,5,0,0,2,5,4,8,4,2,4,3,1,1,1,1,3,4,2,7,8,6,0,0,5,7,12,10,9,7,8,4,7,12,5,3,6,8,6,5.5,4.6,4.2,0.0,0.0,4.0,5.0,6.5,6.12,7.25,4.5,4.25,3.33,7.0,12.0,5.0,3.0,4.0,5.75,5.5,16.15,13.5,3.6000000000000005,27.300000000000004,15.6,12.0,2.7,26.300000000000004,2.95,3.0,0.9000000000000001,5.0,6.5,7.0,2.7,10.200000000000003,4.875,4.8,2.7,7.025
rzsm>0.8_pr>80,ssp245,2036,0,35,10,11,20,5,12,0,28,11,0,0,1,7,12,16,61,0,6,0,0,35,8,11,20,5,12,0,28,8,0,0,0,7,11,16,61,0,6,0,0,5,2,3,4,1,2,0,6,2,0,0,0,2,2,4,7,0,1,0,0,10,5,5,7,5,6,0,6,6,0,0,0,5,6,5,15,0,6,0,0.0,7.0,4.0,3.67,5.0,5.0,6.0,0.0,4.67,4.0,0.0,0.0,0.0,3.5,5.5,4.0,8.71,0.0,6.0,0.0,11.75,8.5,0.0,28.70000000000001,11.4,7.5,0.0,28.70000000000001,2.05,2.0,0.0,5.100000000000001,4.35,5.0,0.0,7.300000000000004,3.3525000000000005,4.0,0.0,6.100000000000001
rzsm>0.8_pr>80,ssp245,2037,11,6,0,18,8,0,24,18,0,5,0,0,10,20,5,33,40,23,0,17,11,6,0,18,7,0,24,18,0,5,0,0,10,19,4,32,40,23,0,16,2,1,0,5,1,0,2,3,0,1,0,0,2,5,2,5,1,4,0,2,6,6,0,6,7,0,20,7,0,5,0,0,6,8,2,9,40,7,0,9,5.5,6.0,0.0,3.6,7.0,0.0,12.0,6.0,0.0,5.0,0.0,0.0,5.0,3.8,2.0,6.4,40.0,5.75,0.0,8.0,11.9,9.0,0.0,24.900000000000013,11.65,8.5,0.0,24.80000000000001,1.8,1.5,0.0,5.0,6.9,6.0,0.0,10.100000000000016,5.8025,5.0,0.0,8.400000000000006
rzsm>0.8_pr>80,ssp245,2038,6,2,22,5,1,10,13,10,10,5,0,3,0,24,24,3,100,16,0,0,6,2,21,4,0,9,13,10,10,5,0,3,0,23,24,3,100,15,0,0,1,1,4,1,0,2,2,1,3,1,0,1,0,5,4,1,3,3,0,0,6,2,9,4,0,6,7,10,6,5,0,3,0,7,9,3,68,6,0,0,6.0,2.0,5.25,4.0,0.0,4.5,6.5,10.0,3.33,5.0,0.0,3.0,0.0,4.6,6.0,3.0,33.33,5.0,0.0,0.0,12.7,5.5,0.0,24.0,12.4,5.5,0.0,23.1,1.65,1.0,0.0,4.0,7.55,5.5,0.0,9.100000000000001,5.0755,4.25,0.0,6.850000000000005
rzsm>0.8_pr>80,ssp245,2039,0,4,8,8,0,22,0,12,12,0,6,5,0,20,4,3,40,0,5,0,0,4,8,8,0,21,0,11,11,0,6,5,0,20,3,3,39,0,3,0,0,1,2,1,0,5,0,2,3,0,1,1,0,3,1,1,3,0,1,0,0,4,6,8,0,7,0,9,4,0,6,5,0,9,3,3,25,0,3,0,0.0,4.0,4.0,8.0,0.0,4.2,0.0,5.5,3.67,0.0,6.0,5.0,0.0,6.67,3.0,3.0,13.0,0.0,3.0,0.0,7.45,4.5,0.0,20.200000000000003,7.1,3.5,0.0,20.1,1.25,1.0,0.0,3.0,4.6,3.5,0.0,9.0,3.4519999999999995,3.335,0.0,6.803000000000002
rzsm>0.8_pr>80,ssp245,2040,14,0,14,7,0,1,19,6,22,3,17,0,5,0,0,0,43,2,0,0,14,0,14,6,0,0,18,6,22,3,16,0,5,0,0,0,43,2,0,0,2,0,3,2,0,0,3,2,4,1,3,0,1,0,0,0,2,1,0,0,10,0,7,3,0,0,11,4,7,3,6,0,5,0,0,0,22,2,0,0,7.0,0.0,4.67,3.0,0.0,0.0,6.0,3.0,5.5,3.0,5.33,0.0,5.0,0.0,0.0,0.0,21.5,2.0,0.0,0.0,7.65,2.5,0.0,19.300000000000004,7.45,2.5,0.0,18.400000000000006,1.2,1.0,0.0,3.0,4.0,2.5,0.0,10.100000000000001,3.3,2.5,0.0,6.100000000000001
rzsm>0.8_pr>80,ssp245,2041,18,6,11,41,0,7,3,12,11,0,16,2,19,17,19,22,62,11,0,28,17,6,11,40,0,7,2,12,11,0,16,2,18,17,17,22,62,11,0,27,3,1,2,8,0,1,1,2,2,0,3,1,4,2,4,5,1,3,0,5,7,6,6,7,0,7,2,7,6,0,6,2,6,14,7,8,62,7,0,7,5.67,6.0,5.5,5.0,0.0,7.0,2.0,6.0,5.5,0.0,5.33,2.0,4.5,8.5,4.25,4.4,62.0,3.67,0.0,5.4,15.25,11.5,0.0,29.30000000000002,14.9,11.5,0.0,28.30000000000002,2.4,2.0,0.0,5.0,8.35,6.5,0.0,8.600000000000009,7.136,5.165,0.0,7.150000000000002
rzsm>0.8_pr>80,ssp245,2042,3,0,5,21,1,4,15,0,0,0,0,9,15,21,18,0,102,13,0,3,3,0,5,21,0,4,15,0,0,0,0,9,14,21,18,0,102,13,0,3,1,0,1,3,0,1,3,0,0,0,0,2,3,3,3,0,1,3,0,1,3,0,5,8,0,4,5,0,0,0,0,7,5,10,7,0,102,7,0,3,3.0,0.0,5.0,7.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.5,4.67,7.0,6.0,0.0,102.0,4.33,0.0,3.0,11.5,3.5,0.0,21.0,11.4,3.5,0.0,21.0,1.25,1.0,0.0,3.0,8.3,3.5,0.0,8.200000000000003,7.775000000000001,3.5,0.0,7.0
