threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.9_pr>80,ssp245,2043,14,16,0,13,0,3,6,0,0,0,0,0,15,4,4,0,0,0,10,2,14,16,0,13,0,3,5,0,0,0,0,0,15,4,4,0,0,0,10,2,3,4,0,3,0,1,1,0,0,0,0,0,3,1,1,0,0,0,2,1,7,6,0,6,0,3,5,0,0,0,0,0,5,4,4,0,0,0,6,2,4.67,4.0,0.0,4.33,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,5.0,2.0,4.35,1.0,0.0,14.100000000000001,4.3,1.0,0.0,14.100000000000001,1.0,0.5,0.0,3.0,2.4,1.0,0.0,6.0,2.05,1.0,0.0,5.0
rzsm>0.9_pr>80,ssp245,2044,1,12,0,0,0,9,17,14,32,35,7,0,0,3,18,1,0,0,7,0,0,12,0,0,0,8,17,12,31,34,7,0,0,3,18,0,0,0,7,0,0,1,0,0,0,2,4,3,3,4,2,0,0,1,2,0,0,0,1,0,0,12,0,0,0,5,7,7,20,10,5,0,0,3,11,0,0,0,7,0,0.0,12.0,0.0,0.0,0.0,4.0,4.25,4.0,10.33,8.5,3.5,0.0,0.0,3.0,9.0,0.0,0.0,0.0,7.0,0.0,7.8,2.0,0.0,19.40000000000002,7.45,1.5,0.0,19.30000000000002,1.15,0.5,0.0,3.1000000000000014,4.35,1.5,0.0,11.100000000000001,3.279,1.5,0.0,9.133000000000003
rzsm>0.9_pr>80,ssp245,2045,0,0,7,30,0,0,21,0,20,8,9,2,0,8,0,11,0,0,0,33,0,0,5,29,0,0,21,0,20,7,9,2,0,7,0,10,0,0,0,33,0,0,1,5,0,0,4,0,5,1,2,1,0,2,0,2,0,0,0,7,0,0,5,8,0,0,7,0,6,7,5,2,0,5,0,7,0,0,0,9,0.0,0.0,5.0,5.8,0.0,0.0,5.25,0.0,4.0,7.0,4.5,2.0,0.0,3.5,0.0,5.0,0.0,0.0,0.0,4.71,7.45,1.0,0.0,21.900000000000013,7.15,1.0,0.0,21.80000000000001,1.5,0.5,0.0,5.0,3.05,1.0,0.0,7.100000000000001,2.338,1.0,0.0,5.305000000000001
rzsm>0.9_pr>80,ssp245,2046,17,0,0,0,0,0,11,26,0,2,0,0,15,6,0,11,83,32,13,1,13,0,0,0,0,0,11,26,0,2,0,0,13,5,0,11,83,32,12,0,4,0,0,0,0,0,2,5,0,1,0,0,4,2,0,2,5,5,2,0,4,0,0,0,0,0,6,9,0,2,0,0,4,3,0,6,41,14,8,0,3.25,0.0,0.0,0.0,0.0,0.0,5.5,5.2,0.0,2.0,0.0,0.0,3.25,2.5,0.0,5.5,16.6,6.4,6.0,0.0,10.85,1.5,0.0,26.60000000000001,10.4,1.0,0.0,26.60000000000001,1.6,0.5,0.0,5.0,4.85,1.0,0.0,9.500000000000007,2.8099999999999996,1.0,0.0,6.040000000000001
rzsm>0.9_pr>80,ssp245,2047,0,0,0,1,0,4,4,18,17,0,2,0,2,0,8,11,90,0,11,0,0,0,0,0,0,4,4,18,16,0,2,0,2,0,8,11,88,0,11,0,0,0,0,0,0,1,2,2,4,0,1,0,1,0,3,1,10,0,3,0,0,0,0,0,0,4,2,12,6,0,2,0,2,0,3,11,35,0,7,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,4.0,0.0,2.0,0.0,2.0,0.0,2.67,11.0,8.8,0.0,3.67,0.0,8.4,1.5,0.0,17.1,8.2,1.0,0.0,16.200000000000003,1.4,0.5,0.0,3.1000000000000014,4.2,1.0,0.0,11.100000000000001,2.457,1.0,0.0,8.82
rzsm>0.9_pr>80,ssp245,2048,0,12,12,16,4,8,0,4,6,21,3,0,12,0,0,0,0,0,26,26,0,12,12,16,4,6,0,4,5,21,3,0,11,0,0,0,0,0,23,26,0,2,2,3,1,1,0,1,2,4,1,0,2,0,0,0,0,0,4,3,0,6,6,7,4,6,0,4,3,7,3,0,6,0,0,0,0,0,7,15,0.0,6.0,6.0,5.33,4.0,6.0,0.0,4.0,2.5,5.25,3.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.75,8.67,7.5,4.0,0.0,21.500000000000007,7.15,4.0,0.0,21.200000000000003,1.3,1.0,0.0,3.1000000000000014,3.7,3.5,0.0,7.0,3.1,3.5,0.0,6.0
rzsm>0.9_pr>80,ssp245,2049,0,0,18,10,0,5,0,17,19,0,2,0,0,4,0,0,6,0,2,5,0,0,16,10,0,5,0,17,18,0,2,0,0,4,0,0,6,0,2,5,0,0,3,2,0,1,0,2,2,0,1,0,0,2,0,0,2,0,1,1,0,0,7,7,0,5,0,11,9,0,2,0,0,2,0,0,4,0,2,5,0.0,0.0,5.33,5.0,0.0,5.0,0.0,8.5,9.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,5.0,4.4,1.0,0.0,17.1,4.25,1.0,0.0,16.1,0.85,0.5,0.0,2.0,2.7,1.0,0.0,7.200000000000003,2.3415,1.0,0.0,5.647000000000005
rzsm>0.9_pr>80,ssp245,2050,0,3,6,5,0,11,0,5,0,0,17,0,9,8,15,5,22,0,5,0,0,3,6,5,0,11,0,4,0,0,17,0,9,8,14,5,18,0,5,0,0,1,1,2,0,2,0,1,0,0,4,0,2,2,3,1,1,0,1,0,0,3,6,3,0,6,0,4,0,0,6,0,6,5,7,5,18,0,5,0,0.0,3.0,6.0,2.5,0.0,5.5,0.0,4.0,0.0,0.0,4.25,0.0,4.5,4.0,4.67,5.0,18.0,0.0,5.0,0.0,5.55,5.0,0.0,15.200000000000003,5.25,4.5,0.0,14.300000000000004,1.05,1.0,0.0,2.1000000000000014,3.7,3.5,0.0,6.100000000000001,3.321,3.5,0.0,5.550000000000001
rzsm>0.9_pr>80,ssp245,2051,0,1,5,12,3,13,0,0,8,8,1,10,2,14,7,0,3,0,0,0,0,0,5,12,3,13,0,0,7,8,0,10,0,14,7,0,3,0,0,0,0,0,1,2,1,2,0,0,1,1,0,3,0,3,2,0,1,0,0,0,0,0,5,6,3,11,0,0,7,8,0,5,0,5,4,0,3,0,0,0,0.0,0.0,5.0,6.0,3.0,6.5,0.0,0.0,7.0,8.0,0.0,3.33,0.0,4.67,3.5,0.0,3.0,0.0,0.0,0.0,4.35,2.5,0.0,12.100000000000001,4.1,1.5,0.0,12.100000000000001,0.85,0.5,0.0,2.1000000000000014,2.85,1.5,0.0,7.100000000000001,2.5,1.5,0.0,6.550000000000001
rzsm>0.9_pr>80,ssp245,2052,0,14,6,2,0,6,0,6,0,0,7,26,28,22,4,0,3,0,0,0,0,14,6,2,0,6,0,5,0,0,7,24,28,21,4,0,3,0,0,0,0,3,1,1,0,2,0,1,0,0,2,5,5,5,1,0,1,0,0,0,0,7,6,2,0,3,0,5,0,0,5,6,11,9,4,0,3,0,0,0,0.0,4.67,6.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,3.5,4.8,5.6,4.2,4.0,0.0,3.0,0.0,0.0,0.0,6.2,2.5,0.0,22.400000000000006,6.0,2.5,0.0,21.300000000000004,1.35,1.0,0.0,5.0,3.05,2.5,0.0,7.200000000000003,2.2885,2.5,0.0,5.0600000000000005
rzsm>0.9_pr>80,ssp245,2053,6,22,4,0,0,8,5,5,0,0,10,6,16,6,0,7,0,0,0,20,6,21,4,0,0,8,5,5,0,0,10,6,16,6,0,6,0,0,0,20,2,4,1,0,0,2,1,1,0,0,2,1,3,1,0,2,0,0,0,2,4,6,4,0,0,6,5,5,0,0,6,6,7,6,0,4,0,0,0,15,3.0,5.25,4.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,5.0,6.0,5.33,6.0,0.0,3.0,0.0,0.0,0.0,10.0,5.75,5.0,0.0,16.400000000000006,5.65,5.0,0.0,16.400000000000006,1.1,1.0,0.0,2.1000000000000014,3.7,4.0,0.0,6.100000000000001,3.0789999999999997,3.5,0.0,6.0
rzsm>0.9_pr>80,ssp245,2054,0,10,4,0,6,8,11,0,0,0,7,21,0,0,0,5,1,9,0,15,0,10,4,0,5,8,11,0,0,0,7,21,0,0,0,4,0,9,0,15,0,2,1,0,1,2,2,0,0,0,2,4,0,0,0,1,0,1,0,3,0,5,4,0,5,5,7,0,0,0,4,7,0,0,0,4,0,9,0,5,0.0,5.0,4.0,0.0,5.0,4.0,5.5,0.0,0.0,0.0,3.5,5.25,0.0,0.0,0.0,4.0,0.0,9.0,0.0,5.0,4.85,2.5,0.0,11.400000000000006,4.7,2.0,0.0,11.400000000000006,0.95,0.5,0.0,2.1000000000000014,2.75,2.0,0.0,7.0,2.5125,1.75,0.0,5.275
rzsm>0.9_pr>80,ssp245,2055,6,0,11,17,0,1,13,0,2,0,11,3,0,6,0,0,2,0,0,0,6,0,11,16,0,0,13,0,2,0,11,3,0,6,0,0,0,0,0,0,1,0,3,3,0,0,3,0,1,0,1,1,0,2,0,0,0,0,0,0,6,0,5,7,0,0,5,0,2,0,11,3,0,3,0,0,0,0,0,0,6.0,0.0,3.67,5.33,0.0,0.0,4.33,0.0,2.0,0.0,11.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.5,0.0,11.200000000000003,3.4,0.0,0.0,11.200000000000003,0.75,0.0,0.0,3.0,2.1,0.0,0.0,6.100000000000001,1.9164999999999999,0.0,0.0,5.397000000000001
rzsm>0.9_pr>80,ssp245,2056,5,5,5,0,0,0,12,7,0,0,7,20,6,18,4,0,2,23,8,9,5,5,5,0,0,0,12,7,0,0,6,18,6,17,4,0,2,23,8,9,1,1,1,0,0,0,3,1,0,0,1,4,2,3,1,0,1,3,2,2,5,5,5,0,0,0,6,7,0,0,6,9,4,8,4,0,2,9,6,7,5.0,5.0,5.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,6.0,4.5,3.0,5.67,4.0,0.0,2.0,7.67,4.0,4.5,6.55,5.0,0.0,18.200000000000003,6.35,5.0,0.0,17.1,1.3,1.0,0.0,3.0,4.15,5.0,0.0,8.100000000000001,3.367,4.0,0.0,6.100000000000001
rzsm>0.9_pr>80,ssp245,2057,10,5,0,0,0,7,0,0,25,0,12,7,0,0,1,0,0,0,11,5,9,5,0,0,0,7,0,0,24,0,10,7,0,0,0,0,0,0,10,5,2,1,0,0,0,1,0,0,5,0,2,1,0,0,0,0,0,0,2,1,7,5,0,0,0,7,0,0,6,0,8,7,0,0,0,0,0,0,6,5,4.5,5.0,0.0,0.0,0.0,7.0,0.0,0.0,4.8,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.15,0.0,0.0,11.100000000000001,3.85,0.0,0.0,10.0,0.75,0.0,0.0,2.0,2.55,0.0,0.0,7.0,2.165,0.0,0.0,5.200000000000003
rzsm>0.9_pr>80,ssp245,2058,0,15,0,4,0,12,0,14,14,0,23,0,7,3,12,0,16,0,0,0,0,15,0,4,0,12,0,14,13,0,23,0,7,2,11,0,15,0,0,0,0,4,0,1,0,2,0,3,2,0,5,0,1,1,1,0,2,0,0,0,0,5,0,4,0,6,0,6,7,0,7,0,7,2,11,0,13,0,0,0,0.0,3.75,0.0,4.0,0.0,6.0,0.0,4.67,6.5,0.0,4.6,0.0,7.0,2.0,11.0,0.0,7.5,0.0,0.0,0.0,6.0,1.5,0.0,15.100000000000001,5.8,1.0,0.0,15.0,1.1,0.5,0.0,3.1000000000000014,3.4,1.0,0.0,7.400000000000006,2.851,1.0,0.0,7.050000000000001
rzsm>0.9_pr>80,ssp245,2059,0,4,0,21,0,5,26,16,0,0,3,2,31,17,7,0,0,12,14,0,0,4,0,21,0,5,25,16,0,0,3,2,31,17,7,0,0,11,14,0,0,1,0,4,0,1,3,3,0,0,1,1,4,4,1,0,0,2,2,0,0,4,0,6,0,5,11,7,0,0,3,2,13,6,7,0,0,7,7,0,0.0,4.0,0.0,5.25,0.0,5.0,8.33,5.33,0.0,0.0,3.0,2.0,7.75,4.25,7.0,0.0,0.0,5.5,7.0,0.0,7.9,3.5,0.0,21.500000000000007,7.8,3.5,0.0,21.400000000000006,1.35,1.0,0.0,4.0,3.9,3.5,0.0,7.400000000000006,3.2205,3.5,0.0,7.075000000000001
rzsm>0.9_pr>80,ssp245,2060,0,0,3,0,8,8,0,13,6,1,7,9,0,0,2,0,17,0,15,17,0,0,3,0,8,8,0,13,5,0,7,9,0,0,2,0,17,0,14,17,0,0,1,0,2,2,0,4,2,0,1,2,0,0,1,0,1,0,1,3,0,0,3,0,6,6,0,5,3,0,7,5,0,0,2,0,17,0,14,7,0.0,0.0,3.0,0.0,4.0,4.0,0.0,3.25,2.5,0.0,7.0,4.5,0.0,0.0,2.0,0.0,17.0,0.0,14.0,5.67,5.3,2.5,0.0,15.200000000000003,5.15,2.5,0.0,14.300000000000004,1.0,1.0,0.0,2.1000000000000014,3.75,2.5,0.0,7.70000000000001,3.346,2.25,0.0,7.70000000000001
rzsm>0.9_pr>80,ssp245,2061,34,4,12,0,0,8,0,0,0,0,0,0,0,6,5,0,0,0,6,0,34,4,12,0,0,7,0,0,0,0,0,0,0,6,5,0,0,0,6,0,5,1,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,9,4,6,0,0,3,0,0,0,0,0,0,0,6,5,0,0,0,6,0,6.8,4.0,6.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,3.75,0.0,0.0,8.400000000000006,3.7,0.0,0.0,7.500000000000007,0.7,0.0,0.0,2.1000000000000014,1.95,0.0,0.0,6.0,1.8065000000000002,0.0,0.0,6.0
rzsm>0.9_pr>80,ssp245,2062,28,0,25,0,0,2,0,15,10,0,0,5,35,18,0,2,3,13,16,0,28,0,25,0,0,2,0,15,10,0,0,5,34,18,0,2,3,12,16,0,3,0,4,0,0,1,0,2,3,0,0,1,5,1,0,1,1,2,2,0,12,0,9,0,0,2,0,10,5,0,0,5,9,18,0,2,3,8,13,0,9.33,0.0,6.25,0.0,0.0,2.0,0.0,7.5,3.33,0.0,0.0,5.0,6.8,18.0,0.0,2.0,3.0,6.0,8.0,0.0,8.6,2.5,0.0,25.300000000000004,8.5,2.5,0.0,25.300000000000004,1.3,1.0,0.0,3.1000000000000014,4.8,2.5,0.0,12.100000000000001,3.8604999999999996,2.5,0.0,8.133000000000003
rzsm>0.9_pr>80,ssp245,2063,4,0,14,0,0,17,0,9,0,0,2,0,14,18,7,0,0,7,0,9,2,0,10,0,0,16,0,9,0,0,2,0,14,18,7,0,0,6,0,9,1,0,2,0,0,2,0,2,0,0,1,0,3,2,2,0,0,2,0,2,2,0,5,0,0,9,0,5,0,0,2,0,6,12,4,0,0,4,0,5,2.0,0.0,5.0,0.0,0.0,8.0,0.0,4.5,0.0,0.0,2.0,0.0,4.67,9.0,3.5,0.0,0.0,3.0,0.0,4.5,5.05,1.0,0.0,14.300000000000004,4.65,1.0,0.0,14.200000000000003,0.95,0.5,0.0,2.0,2.7,1.0,0.0,6.300000000000004,2.3085,1.0,0.0,5.300000000000004
rzsm>0.9_pr>80,ssp245,2064,12,0,3,0,0,9,0,17,0,4,0,6,8,3,4,0,56,0,3,2,10,0,3,0,0,9,0,17,0,4,0,5,8,3,4,0,56,0,3,0,2,0,1,0,0,2,0,2,0,1,0,1,2,1,1,0,6,0,1,0,6,0,3,0,0,6,0,10,0,4,0,5,5,3,4,0,32,0,3,0,5.0,0.0,3.0,0.0,0.0,4.5,0.0,8.5,0.0,4.0,0.0,5.0,4.0,3.0,4.0,0.0,9.33,0.0,3.0,0.0,6.35,3.0,0.0,12.500000000000007,6.1,3.0,0.0,10.70000000000001,1.0,1.0,0.0,2.0,4.05,3.0,0.0,6.400000000000006,2.6665,3.0,0.0,5.350000000000005
rzsm>0.9_pr>80,ssp245,2065,11,0,0,14,16,5,35,0,0,0,44,0,0,14,0,0,0,7,0,10,11,0,0,14,15,5,35,0,0,0,44,0,0,14,0,0,0,7,0,10,3,0,0,3,3,1,6,0,0,0,6,0,0,3,0,0,0,2,0,2,4,0,0,5,6,5,10,0,0,0,11,0,0,6,0,0,0,4,0,5,3.67,0.0,0.0,4.67,5.0,5.0,5.83,0.0,0.0,0.0,7.33,0.0,0.0,4.67,0.0,0.0,0.0,3.5,0.0,5.0,7.8,0.0,0.0,17.900000000000027,7.75,0.0,0.0,17.00000000000003,1.45,0.0,0.0,3.3000000000000043,2.8,0.0,0.0,6.400000000000006,2.2335000000000003,0.0,0.0,5.083000000000001
rzsm>0.9_pr>80,ssp245,2066,15,0,16,0,0,0,16,0,0,0,5,0,3,14,0,0,0,4,6,0,15,0,16,0,0,0,16,0,0,0,5,0,3,14,0,0,0,4,6,0,4,0,2,0,0,0,3,0,0,0,1,0,1,3,0,0,0,1,1,0,5,0,10,0,0,0,6,0,0,0,5,0,3,8,0,0,0,4,6,0,3.75,0.0,8.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,5.0,0.0,3.0,4.67,0.0,0.0,0.0,4.0,6.0,0.0,3.95,0.0,0.0,15.100000000000001,3.95,0.0,0.0,15.100000000000001,0.8,0.0,0.0,3.0,2.35,0.0,0.0,6.200000000000003,1.9875,0.0,0.0,5.397000000000001
rzsm>0.9_pr>80,ssp245,2067,0,0,0,11,0,12,0,3,52,19,6,0,3,33,0,6,0,0,9,0,0,0,0,11,0,12,0,3,52,19,6,0,3,33,0,6,0,0,9,0,0,0,0,2,0,2,0,1,9,3,2,0,1,4,0,1,0,0,1,0,0,0,0,8,0,7,0,3,9,11,4,0,3,13,0,6,0,0,9,0,0.0,0.0,0.0,5.5,0.0,6.0,0.0,3.0,5.78,6.33,3.0,0.0,3.0,8.25,0.0,6.0,0.0,0.0,9.0,0.0,7.7,1.5,0.0,20.40000000000002,7.7,1.5,0.0,20.40000000000002,1.3,0.5,0.0,3.1000000000000014,3.65,1.5,0.0,9.200000000000003,2.793,1.5,0.0,6.522000000000003
rzsm>0.9_pr>80,ssp245,2068,28,8,10,0,0,25,0,17,8,21,17,0,0,0,0,0,18,0,4,0,25,8,9,0,0,24,0,17,7,21,16,0,0,0,0,0,18,0,4,0,4,2,1,0,0,4,0,3,1,3,3,0,0,0,0,0,1,0,1,0,10,5,9,0,0,8,0,7,7,7,7,0,0,0,0,0,18,0,4,0,6.25,4.0,9.0,0.0,0.0,6.0,0.0,5.67,7.0,7.0,5.33,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,7.8,2.0,0.0,21.400000000000006,7.45,2.0,0.0,21.300000000000004,1.15,0.5,0.0,3.1000000000000014,4.1,2.0,0.0,9.100000000000001,3.6125,2.0,0.0,7.200000000000003
rzsm>0.9_pr>80,ssp245,2069,15,11,0,1,0,8,7,8,0,0,14,1,0,11,0,0,0,0,14,38,14,11,0,0,0,8,6,8,0,0,14,0,0,10,0,0,0,0,12,38,4,2,0,0,0,2,1,2,0,0,3,0,0,2,0,0,0,0,2,4,4,6,0,0,0,5,6,5,0,0,6,0,0,6,0,0,0,0,7,12,3.5,5.5,0.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0,4.67,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,9.5,6.4,1.0,0.0,14.100000000000001,6.05,0.0,0.0,14.0,1.1,0.0,0.0,3.1000000000000014,2.85,0.0,0.0,6.100000000000001,2.4085,0.0,0.0,6.0
rzsm>0.9_pr>80,ssp245,2070,0,8,15,10,0,5,0,15,0,7,0,0,6,9,0,0,2,0,4,6,0,8,14,10,0,5,0,14,0,6,0,0,6,9,0,0,2,0,4,6,0,2,3,2,0,1,0,3,0,2,0,0,1,2,0,0,1,0,1,1,0,4,8,5,0,5,0,7,0,4,0,0,6,5,0,0,2,0,4,6,0.0,4.0,4.67,5.0,0.0,5.0,0.0,4.67,0.0,3.0,0.0,0.0,6.0,4.5,0.0,0.0,2.0,0.0,4.0,6.0,4.35,3.0,0.0,10.500000000000007,4.2,3.0,0.0,10.400000000000006,0.95,1.0,0.0,2.1000000000000014,2.8,3.0,0.0,6.100000000000001,2.442,2.5,0.0,5.100000000000001
rzsm>0.9_pr>80,ssp245,2071,11,1,6,17,10,22,0,26,0,0,0,0,16,25,0,4,0,5,8,28,11,0,6,17,9,22,0,25,0,0,0,0,16,25,0,4,0,5,8,28,2,0,1,5,2,4,0,4,0,0,0,0,3,4,0,1,0,1,2,3,8,0,6,6,5,7,0,7,0,0,0,0,6,8,0,4,0,5,5,14,5.5,0.0,6.0,3.4,4.5,5.5,0.0,6.25,0.0,0.0,0.0,0.0,5.33,6.25,0.0,4.0,0.0,5.0,4.0,9.33,8.95,5.5,0.0,25.1,8.8,5.5,0.0,25.0,1.6,1.0,0.0,4.0,4.05,5.0,0.0,8.0,3.253,4.0,0.0,6.25
rzsm>0.9_pr>80,ssp245,2072,17,0,8,9,0,2,0,14,21,18,5,4,9,5,0,22,15,13,0,0,17,0,8,8,0,2,0,13,20,18,5,4,8,5,0,20,15,13,0,0,4,0,2,3,0,1,0,2,4,2,1,1,2,1,0,5,3,3,0,0,8,0,5,3,0,2,0,7,6,11,5,4,4,5,0,7,7,7,0,0,4.25,0.0,4.0,2.67,0.0,2.0,0.0,6.5,5.0,9.0,5.0,4.0,4.0,5.0,0.0,4.0,5.0,4.33,0.0,0.0,8.1,6.5,0.0,18.300000000000004,7.8,6.5,0.0,18.200000000000003,1.7,1.5,0.0,4.0,4.05,4.5,0.0,7.100000000000001,3.2375,4.0,0.0,5.150000000000002
rzsm>0.9_pr>80,ssp245,2073,0,4,12,7,0,1,9,5,0,32,5,25,4,9,0,21,49,0,9,6,0,4,11,6,0,0,9,5,0,31,5,24,4,8,0,21,47,0,9,5,0,1,2,1,0,0,2,1,0,6,1,5,1,2,0,1,5,0,1,1,0,4,6,6,0,0,5,5,0,9,5,13,4,5,0,21,20,0,9,5,0.0,4.0,5.5,6.0,0.0,0.0,4.5,5.0,0.0,5.17,5.0,4.8,4.0,4.0,0.0,21.0,9.4,0.0,9.0,5.0,9.9,5.5,0.0,25.70000000000001,9.45,5.0,0.0,24.70000000000001,1.5,1.0,0.0,5.0,5.85,5.0,0.0,13.70000000000001,4.6185,4.65,0.0,9.040000000000001
rzsm>0.9_pr>80,ssp245,2074,12,1,24,4,0,9,29,3,3,23,12,1,3,20,4,4,52,24,0,0,12,0,24,4,0,9,29,2,3,23,12,0,3,20,4,4,52,24,0,0,2,0,3,1,0,3,4,1,1,3,3,0,1,3,1,1,1,3,0,0,8,0,14,4,0,4,11,2,3,14,7,0,3,13,4,4,52,17,0,0,6.0,0.0,8.0,4.0,0.0,3.0,7.25,2.0,3.0,7.67,4.0,0.0,3.0,6.67,4.0,4.0,52.0,8.0,0.0,0.0,11.4,4.0,0.0,24.500000000000007,11.25,4.0,0.0,24.500000000000007,1.55,1.0,0.0,3.0,8.0,4.0,0.0,14.300000000000004,6.1295,4.0,0.0,8.0
rzsm>0.9_pr>80,ssp245,2075,7,3,26,0,0,0,3,15,13,8,11,2,49,0,0,0,36,0,10,34,5,3,26,0,0,0,3,15,13,8,11,2,47,0,0,0,36,0,10,34,1,1,4,0,0,0,1,2,2,2,3,1,6,0,0,0,2,0,1,6,5,3,7,0,0,0,3,8,7,5,5,2,20,0,0,0,20,0,10,9,5.0,3.0,6.5,0.0,0.0,0.0,3.0,7.5,6.5,4.0,3.67,2.0,7.83,0.0,0.0,0.0,18.0,0.0,10.0,5.67,10.85,5.0,0.0,34.2,10.65,4.0,0.0,34.2,1.6,1.0,0.0,4.200000000000003,5.2,4.0,0.0,11.000000000000014,4.1335,3.335,0.0,8.047000000000002
