center,variable,base,ssp,percentile,months,access-cm2,access-esm1-5,bcc-csm2-mr,cesm2,cesm2-waccm,cmcc-cm2-sr5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,fgoals-g3,gfdl-cm4,gfdl-cm4_gr2,gfdl-esm4,giss-e2-1-g,iitm-esm,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc-es2l,miroc6,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,noresm2-lm,noresm2-mm,taiesm1
AMES,rzsm,"[1981, 2020]",ssp245,0.3,,0.1897181,0.1875696,,0.1891511,0.1885256,0.1872972,0.1837704,0.1922198,0.194692,0.192331,0.19139710000000001,0.190931,0.1897749,0.1925163,0.18797930000000002,0.1931081,0.1952372,0.1922392,,0.191965,0.1882671,,0.1928758,0.19147879999999998,0.1924352,0.1881357,0.1828322,0.1871203
AMES,rzsm,"[1981, 2020]",ssp245,0.7,,0.26269739999999997,0.2630847,,0.260372,0.2627378,0.2592459,0.2552078,0.2659244,0.2715939,0.2674549,0.2713661,0.26377919999999994,0.2630323,0.2683853,0.2603932,0.2681935,0.2709123,0.2651493,,0.2802893,0.2613306,,0.2681976,0.2662293,0.2637966,0.2616566,0.25437479999999996,0.2600626
AMES,rzsm,"[1981, 2020]",ssp245,0.8,,0.28169200000000005,0.2810626,,0.27680160000000004,0.2830556,0.2794642,0.27859880000000004,0.2826364,0.28633080000000005,0.2850886,0.2881786,0.2808482,0.2797156,0.28480140000000004,0.2786468,0.2858742,0.28774340000000004,0.28345139999999996,,0.296472,0.2812762,,0.2864792,0.28316919999999995,0.2818918,0.278781,0.2758064,0.2781922
AMES,rzsm,"[1981, 2020]",ssp245,0.9,,0.30088539999999997,0.2995812,,0.2981424,0.3019274,0.3030525,0.3014413,0.3012788,0.30314260000000004,0.30422960000000004,0.3055465,0.2990269,0.29892080000000004,0.3036811,0.3000573,0.3050511,0.3036416,0.30332980000000004,,0.3137523,0.30576559999999997,,0.3049216,0.3025891,0.30383950000000004,0.299175,0.2998127,0.2985453
AMES,rzsm,"[1981, 2020]",ssp245,0.95,,0.3162634,0.31378259999999997,,0.3133543,0.31593115,0.31912355,0.3160821,0.31416355,0.31672695,0.31735384999999994,0.31905979999999995,0.3126799,0.3123772,0.316777,0.31280189999999997,0.31736155,0.3149569,0.3160994,,0.3266803,0.31998795,,0.31808095000000003,0.3151021,0.318132,0.31342865,0.31463745,0.31294665
AMES,rzsm,"[1981, 2020]",ssp245,0.98,,0.3303267,0.32756107999999995,,0.3268065,0.32974677999999996,0.33492553999999997,0.32977686,0.32792901999999996,0.33111514000000003,0.33101615999999995,0.33280548,0.32716281999999997,0.32677492,0.33015310000000003,0.32463712,0.32924464000000003,0.3295176,0.32944864,,0.34100031999999997,0.3318524,,0.33091096,0.32706483999999997,0.32888515999999995,0.32722584,0.32979574,0.32889938
GISS,rzsm,"[1950, 2014]",ssp245,0.02,,0.2396858,0.239983,,0.2398786,0.2403468,0.2396336,0.24012640000000002,0.2394856,0.23962440000000002,0.2393718,0.2402906,0.2398258,0.2398972,0.2401474,0.23992940000000001,0.2394598,0.2400968,0.23990920000000002,,0.239549,0.2401308,,0.2394794,0.2401828,0.239765,0.239463,0.2398746,0.239526
GISS,rzsm,"[1950, 2014]",ssp245,0.05,,0.240662,0.240849,,0.240821,0.24107,0.240572,0.241102,0.240454,0.240587,0.240336,0.241121,0.24068,0.240765,0.24128,0.240843,0.240579,0.240936,0.240924,,0.240295,0.240944,,0.24038,0.240916,0.240611,0.240581,0.240697,0.240426
GISS,rzsm,"[1950, 2014]",ssp245,0.1,,0.241618,0.24153,,0.241687,0.24188,0.241471,0.241856,0.241421,0.241497,0.241314,0.241869,0.24157,0.241659,0.242063,0.241606,0.241482,0.241809,0.24186,,0.241025,0.241822,,0.241272,0.241756,0.241482,0.241586,0.24143,0.241292
GISS,rzsm,"[1950, 2014]",ssp245,0.2,,0.242828,0.242511,,0.242703,0.24277,0.242579,0.242793,0.242545,0.242507,0.242479,0.242818,0.242735,0.24274,0.242978,0.24255,0.242526,0.24293,0.242881,,0.241954,0.242851,,0.242416,0.242812,0.242498,0.242742,0.242504,0.242502
